,title,authors,filename,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
51,Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations,8,Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations,68,176,False,134,58,23,19,0,10,17,0,4,80,11469,3.5789473684210527,1.4210526315789473,3.0526315789473686,0.8947368421052632,37
52,Distribution Regression with Sliced Wasserstein Kernels,8,Distribution Regression with Sliced Wasserstein Kernels,64,200,False,139,198,6,23,4,16,4,0,6,55,14197,2.782608695652174,0.5217391304347826,8.608695652173912,0.17391304347826086,11
53,Do We Really Need to Access the Source Data? Source Hypothesis Transfer for Unsupervised Domain Adaptation,8,Do We Really Need to Access the Source Data Source Hypothesis Transfer for Unsupervised Domain Adaptation,79,158,False,170,24,20,12,0,6,12,0,18,105,9287,6.583333333333333,3.1666666666666665,2.0,1.0,877
54,DreamerPro: Reconstruction-Free Model-Based Reinforcement Learning with Prototypical Representations,8,DreamerPro Reconstruction-Free Model-Based Reinforcement Learning with Prototypical Representations,41,178,False,120,16,12,12,0,7,5,1,6,99,6747,3.4166666666666665,1.5,1.3333333333333333,0.4166666666666667,40
55,Early Classification for Agricultural Monitoring from Satellite Time Series,8,Early Classification for Agricultural Monitoring from Satellite Time Series,17,130,False,26,8,6,5,0,5,6,0,2,75,3693,3.4,1.6,1.6,1.2,17
56,Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables,8,Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables,47,164,False,51,8,27,11,0,8,6,0,0,84,7161,4.2727272727272725,2.4545454545454546,0.7272727272727273,0.5454545454545454,540
57,Efficient nonparametric statistical inference on population feature importance using Shapley values,8,Efficient nonparametric statistical inference on population feature importance using Shapley values,32,171,False,74,112,9,15,0,13,8,0,2,99,10709,2.1333333333333333,0.7333333333333333,7.466666666666667,0.5333333333333333,59
58,Energy-Based Processes for Exchangeable Data,8,Energy-Based Processes for Exchangeable Data,75,120,False,288,132,40,32,11,13,24,4,4,44,12436,2.34375,1.375,4.125,0.75,10
59,Equivariant Transformer Networks,8,Equivariant Transformer Networks,34,103,False,118,24,46,15,0,19,15,0,16,32,8919,2.2666666666666666,4.133333333333334,1.6,1.0,61
60,Estimating the number and effect sizes of non-null hypotheses,8,Estimating the number and effect sizes of non-null hypotheses,43,129,False,22,299,24,31,0,10,18,0,0,61,16375,1.3870967741935485,0.7741935483870968,9.64516129032258,0.5806451612903226,3
61,Explainability Techniques for Graph Convolutional Networks,8,Explainability Techniques for Graph Convolutional Networks,48,66,False,48,10,143,21,4,8,15,8,0,58,7196,2.2857142857142856,6.809523809523809,0.47619047619047616,0.7142857142857143,209
62,Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling,8,Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling,41,183,True,83,0,85,14,0,12,10,0,14,76,7963,2.9285714285714284,7.071428571428571,0.0,0.7142857142857143,2
64,Fast Composite Optimization and Statistical Recovery in Federated Learning,8,Fast Composite Optimization and Statistical Recovery in Federated Learning,76,233,False,149,340,12,29,11,12,15,0,2,74,16774,2.6206896551724137,0.4827586206896552,11.724137931034482,0.5172413793103449,8
65,Fast Variance Reduction Method with Stochastic Batch Size,8,Fast Variance Reduction Method with Stochastic Batch Size,32,204,False,34,146,14,17,1,7,16,0,2,57,10025,1.8823529411764706,0.9411764705882353,8.588235294117647,0.9411764705882353,5
66,Feature Quantization Improves GAN Training,8,Feature Quantization Improves GAN Training,48,156,True,115,18,83,22,22,10,19,0,18,42,10275,2.1818181818181817,4.590909090909091,0.8181818181818182,0.8636363636363636,41
67,Federated Reinforcement Learning: Linear Speedup Under Markovian Sampling,8,Federated Reinforcement Learning Linear Speedup Under Markovian Sampling,0,1,False,99,461,3,69,1,11,17,6,2,72,30284,0.0,0.07246376811594203,6.681159420289855,0.2463768115942029,42
68,Finding trainable sparse networks through Neural Tangent Transfer,8,Finding trainable sparse networks through Neural Tangent Transfer,56,132,False,108,49,40,17,10,10,12,0,8,65,10149,3.2941176470588234,2.823529411764706,2.8823529411764706,0.7058823529411765,26
69,FloWaveNet : A Generative Flow for Raw Audio,8,FloWaveNet  A Generative Flow for Raw Audio,17,153,False,39,26,12,9,0,7,13,0,8,43,5796,1.8888888888888888,2.2222222222222223,2.888888888888889,1.4444444444444444,160
70,Frequency Bias in Neural Networks for Input of Non-Uniform Density,8,Frequency Bias in Neural Networks for Input of Non-Uniform Density,26,159,False,38,247,46,25,0,12,9,0,0,66,14234,1.04,1.84,9.88,0.36,123
72,GDPP: Learning Diverse Generations Using Determinantal Point Process,8,GDPP Learning Diverse Generations Using Determinantal Point Process,46,221,True,109,16,36,10,7,6,2,0,10,67,6732,4.6,4.6,1.6,0.2,56
73,Gauge Equivariant Convolutional Networks and the Icosahedral CNN,8,Gauge Equivariant Convolutional Networks and the Icosahedral CNN,59,180,True,62,38,22,15,4,13,17,3,6,64,11333,3.933333333333333,1.8666666666666667,2.533333333333333,1.1333333333333333,355
75,Generative Adversarial User Model for Reinforcement Learning Based Recommendation System,8,Generative Adversarial User Model for Reinforcement Learning Based Recommendation System,30,151,False,63,57,30,15,0,12,13,0,6,88,9540,2.0,2.4,3.8,0.8666666666666667,161
78,Graph Neural Networks Inspired by Classical Iterative Algorithms,8,Graph Neural Networks Inspired by Classical Iterative Algorithms,70,197,False,122,102,23,20,0,18,35,4,26,64,13728,3.5,2.45,5.1,1.75,58
83,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings,8,Hyperbolic Entailment Cones for Learning Hierarchical Embeddings,37,116,False,115,116,16,13,22,14,4,0,2,64,8218,2.8461538461538463,1.3846153846153846,8.923076923076923,0.3076923076923077,219
84,"Imperceptible, Robust, and Targeted Adversarial Examples for Automatic Speech Recognition",8,Imperceptible Robust and Targeted Adversarial Examples for Automatic Speech Recognition,31,128,False,94,62,3,13,8,15,12,5,6,87,9233,2.3846153846153846,0.6923076923076923,4.769230769230769,0.9230769230769231,333
85,Improved Bounds on Minimax Regret under Logarithmic Loss via Self-Concordance,8,Improved Bounds on Minimax Regret under Logarithmic Loss via Self-Concordance,36,88,False,100,293,0,25,5,14,20,1,0,77,13994,1.44,0.0,11.72,0.8,0
86,Improving Adversarial Robustness via Promoting Ensemble Diversity,8,Improving Adversarial Robustness via Promoting Ensemble Diversity,48,162,False,68,62,15,13,0,8,17,0,10,65,9560,3.6923076923076925,1.9230769230769231,4.769230769230769,1.3076923076923077,369
87,Improving Screening Processes via Calibrated Subset Selection,8,Improving Screening Processes via Calibrated Subset Selection,56,1,False,98,312,12,30,0,22,30,0,0,61,14072,1.8666666666666667,0.4,10.4,1.0,14
88,Individually Fair Learning with One-Sided Feedback,8,Individually Fair Learning with One-Sided Feedback,72,1,False,131,144,2,25,3,11,15,2,0,50,12640,2.88,0.08,5.76,0.6,3
89,Information-Theoretic Considerations in Batch Reinforcement Learning,8,Information-Theoretic Considerations in Batch Reinforcement Learning,58,91,False,115,106,0,27,6,13,11,0,0,68,17010,2.1481481481481484,0.0,3.925925925925926,0.4074074074074074,307
90,Interactively Learning Preference Constraints in Linear Bandits,8,Interactively Learning Preference Constraints in Linear Bandits,30,166,False,77,84,63,23,20,10,14,0,4,63,12881,1.3043478260869565,2.9130434782608696,3.652173913043478,0.6086956521739131,7
91,Interventional Contrastive Learning with Meta Semantic Regularizer,8,Interventional Contrastive Learning with Meta Semantic Regularizer,39,186,False,132,64,30,13,0,24,18,0,16,66,8745,3.0,3.5384615384615383,4.923076923076923,1.3846153846153846,12
92,Is Local SGD Better than Minibatch SGD?,8,Is Local SGD Better than Minibatch SGD,41,119,True,114,236,3,31,9,10,3,1,4,38,16268,1.3225806451612903,0.22580645161290322,7.612903225806452,0.0967741935483871,215
94,Koopman Q-learning: Offline Reinforcement Learning via Symmetries of Dynamics,8,Koopman Q-learning Offline Reinforcement Learning via Symmetries of Dynamics,40,213,False,131,62,17,23,12,10,15,0,10,76,15659,1.7391304347826086,1.173913043478261,2.6956521739130435,0.6521739130434783,15
95,Langevin Monte Carlo for Contextual Bandits,8,Langevin Monte Carlo for Contextual Bandits,50,179,False,142,150,16,21,3,10,10,0,4,43,13026,2.380952380952381,0.9523809523809523,7.142857142857143,0.47619047619047616,19
96,LatentGNN: Learning Efficient Non-local Relations for Visual Recognition,8,LatentGNN Learning Efficient Non-local Relations for Visual Recognition,49,176,False,76,24,6,10,9,6,6,6,6,71,7390,4.9,1.2,2.4,0.6,78
97,Learning Calibratable Policies using Programmatic Style-Consistency,8,Learning Calibratable Policies using Programmatic Style-Consistency,60,150,False,89,14,50,17,5,12,5,0,36,67,10804,3.5294117647058822,5.0588235294117645,0.8235294117647058,0.29411764705882354,14
98,Learning Fair Policies in Decentralized Cooperative Multi-Agent Reinforcement Learning,8,Learning Fair Policies in Decentralized Cooperative Multi-Agent Reinforcement Learning,61,195,False,108,152,64,31,20,12,16,0,4,86,17093,1.967741935483871,2.193548387096774,4.903225806451613,0.5161290322580645,30
99,Learning Linear-Quadratic Regulators Efficiently with only $\sqrt{T}$ Regret,8,Learning Linear-Quadratic Regulators Efficiently with only sqrtT Regret,36,29,False,62,216,0,30,4,10,30,0,0,71,13041,1.2,0.0,7.2,1.0,154
101,Learning Transferable Visual Models From Natural Language Supervision,8,Learning Transferable Visual Models From Natural Language Supervision,220,216,False,514,0,67,48,12,15,20,6,34,69,35678,4.583333333333333,2.1041666666666665,0.0,0.4166666666666667,14151
102,Learning from a Learning User for Optimal Recommendations,8,Learning from a Learning User for Optimal Recommendations,42,153,False,53,146,23,36,7,11,7,0,2,57,16189,1.1666666666666667,0.6944444444444444,4.055555555555555,0.19444444444444445,3
103,Learning to Incorporate Texture Saliency Adaptive Attention to Image Cartoonization,8,Learning to Incorporate Texture Saliency Adaptive Attention to Image Cartoonization,51,196,False,47,44,66,22,0,6,10,0,14,83,6298,2.3181818181818183,3.6363636363636362,2.0,0.45454545454545453,6
105,Leveraging Non-uniformity in First-order Non-convex Optimization,8,Leveraging Non-uniformity in First-order Non-convex Optimization,28,1,False,384,1076,66,48,62,26,36,0,0,64,26391,0.5833333333333334,1.375,22.416666666666668,0.75,36
106,Linear Transformers Are Secretly Fast Weight Programmers,8,Linear Transformers Are Secretly Fast Weight Programmers,71,155,False,165,82,15,16,9,14,16,2,12,56,11096,4.4375,1.6875,5.125,1.0,132
107,Log-Euclidean Signatures for Intrinsic Distances Between Unaligned Datasets,8,Log-Euclidean Signatures for Intrinsic Distances Between Unaligned Datasets,69,157,False,182,28,49,23,2,12,11,2,10,75,12382,3.0,2.5652173913043477,1.2173913043478262,0.4782608695652174,4
108,Lower Bounds for Smooth Nonconvex Finite-Sum Optimization,8,Lower Bounds for Smooth Nonconvex Finite-Sum Optimization,33,172,False,198,112,0,21,0,7,10,0,4,57,7984,1.5714285714285714,0.19047619047619047,5.333333333333333,0.47619047619047616,42
109,MSplit LBI: Realizing Feature Selection and Dense Estimation Simultaneously in Few-shot and Zero-shot Learning,8,MSplit LBI Realizing Feature Selection and Dense Estimation Simultaneously in Few-shot and Zero-shot Learning,54,159,True,134,25,6,10,0,6,10,1,10,109,7940,5.4,1.6,2.5,1.0,23
110,Matrix Completion with Model-free Weighting,8,Matrix Completion with Model-free Weighting,57,148,False,186,145,0,35,0,14,9,0,8,43,13327,1.6285714285714286,0.22857142857142856,4.142857142857143,0.2571428571428571,3
111,Median Matrix Completion: from Embarrassment to Optimality,8,Median Matrix Completion from Embarrassment to Optimality,38,177,False,105,127,3,26,0,8,10,2,10,57,10835,1.4615384615384615,0.5,4.884615384615385,0.38461538461538464,1
112,Meta-learning for mixed linear regression,8,Meta-learning for mixed linear regression,60,1,False,120,580,36,41,2,32,32,0,16,41,15631,1.4634146341463414,1.2682926829268293,14.146341463414634,0.7804878048780488,54
114,Model Function Based Conditional Gradient Method with Armijo-like Line Search,8,Model Function Based Conditional Gradient Method with Armijo-like Line Search,48,154,False,56,72,2,20,6,7,7,3,0,77,7819,2.4,0.1,3.6,0.35,4
115,Modeling Irregular Time Series with Continuous Recurrent Units,8,Modeling Irregular Time Series with Continuous Recurrent Units,61,159,False,169,70,16,18,31,14,22,11,6,62,10705,3.388888888888889,1.2222222222222223,3.888888888888889,1.2222222222222223,35
116,Monte Carlo Variational Auto-Encoders,8,Monte Carlo Variational Auto-Encoders,36,145,False,117,306,40,18,11,19,44,9,18,37,10448,2.0,3.2222222222222223,17.0,2.4444444444444446,33
117,Multi-Grained Vision Language Pre-Training: Aligning Texts with Visual Concepts,8,Multi-Grained Vision Language Pre-Training Aligning Texts with Visual Concepts,57,118,False,69,16,15,16,0,7,15,0,12,78,9343,3.5625,1.6875,1.0,0.9375,201
118,Multinomial Logit Bandit with Low Switching Cost,8,Multinomial Logit Bandit with Low Switching Cost,23,97,False,35,161,0,25,18,12,8,0,0,48,15840,0.92,0.0,6.44,0.32,15
119,Natural Analysts in Adaptive Data Analysis,8,Natural Analysts in Adaptive Data Analysis,21,236,False,49,51,0,22,2,12,24,0,0,42,10690,0.9545454545454546,0.0,2.3181818181818183,1.0909090909090908,15
120,Neighborhood Contrastive Learning Applied to Online Patient Monitoring,8,Neighborhood Contrastive Learning Applied to Online Patient Monitoring,43,115,False,151,10,45,21,16,13,17,0,26,70,10094,2.0476190476190474,3.380952380952381,0.47619047619047616,0.8095238095238095,33
121,Neural Laplace: Learning diverse classes of differential equations in the Laplace domain,8,Neural Laplace Learning diverse classes of differential equations in the Laplace domain,62,168,False,365,120,97,22,0,38,5,0,44,87,12338,2.8181818181818183,6.409090909090909,5.454545454545454,0.22727272727272727,11
123,Non-Asymptotic Analysis of Fractional Langevin Monte Carlo for Non-Convex Optimization,8,Non-Asymptotic Analysis of Fractional Langevin Monte Carlo for Non-Convex Optimization,51,206,False,61,348,16,39,0,9,20,4,0,86,15451,1.3076923076923077,0.41025641025641024,8.923076923076923,0.5128205128205128,25
124,Nonparametric Regression with Comparisons: Escaping the Curse of Dimensionality with Ordinal Information,8,Nonparametric Regression with Comparisons Escaping the Curse of Dimensionality with Ordinal Information,41,196,False,93,254,46,52,0,9,21,10,4,103,21507,0.7884615384615384,0.9615384615384616,4.884615384615385,0.40384615384615385,7
127,On Implicit Regularization in β-VAEs,8,On Implicit Regularization in β-VAEs,52,164,False,83,56,86,23,0,8,5,0,6,36,9982,2.260869565217391,4.0,2.4347826086956523,0.21739130434782608,44
128,On Proximal Policy Optimization's Heavy-tailed Gradients,8,On Proximal Policy Optimizations Heavy-tailed Gradients,42,1,False,0,8,0,24,0,8,1,0,0,56,13787,1.75,0.0,0.3333333333333333,0.041666666666666664,7
129,On the Convergence of Inexact Predictor-Corrector Methods for Linear Programming,8,On the Convergence of Inexact Predictor-Corrector Methods for Linear Programming,40,164,False,96,301,8,39,0,12,13,0,0,80,16634,1.0256410256410255,0.20512820512820512,7.717948717948718,0.3333333333333333,2
130,On the Identifiability and Estimation of Causal Location-Scale Noise Models,8,On the Identifiability and Estimation of Causal Location-Scale Noise Models,60,161,False,215,68,18,17,6,14,7,0,4,75,12246,3.5294117647058822,1.2941176470588236,4.0,0.4117647058823529,23
131,On the Relation between Quality-Diversity Evaluation and Distribution-Fitting Goal in Text Generation,8,On the Relation between Quality-Diversity Evaluation and Distribution-Fitting Goal in Text Generation,40,107,False,96,152,32,16,0,17,16,0,4,101,10762,2.5,2.25,9.5,1.0,4
132,One Policy to Control Them All: Shared Modular Policies for Agent-Agnostic Control,8,One Policy to Control Them All Shared Modular Policies for Agent-Agnostic Control,44,185,False,45,8,24,12,6,10,16,0,0,81,9122,3.6666666666666665,2.0,0.6666666666666666,1.3333333333333333,116
133,Online Learning for Min Sum Set Cover and Pandora's Box,8,Online Learning for Min Sum Set Cover and Pandoras Box,48,0,False,67,84,0,31,3,9,14,2,0,55,13203,1.5483870967741935,0.0,2.7096774193548385,0.45161290322580644,9
134,Open-ended Learning in Symmetric Zero-sum Games,8,Open-ended Learning in Symmetric Zero-sum Games,55,159,False,102,136,22,18,16,14,13,0,0,47,11038,3.0555555555555554,1.2222222222222223,7.555555555555555,0.7222222222222222,142
135,Optimal Online Generalized Linear Regression with Stochastic Noise and Its Application to Heteroscedastic Bandits,8,Optimal Online Generalized Linear Regression with Stochastic Noise and Its Application to Heteroscedastic Bandits,49,141,False,126,172,10,27,1,10,13,3,0,113,11027,1.8148148148148149,0.37037037037037035,6.37037037037037,0.48148148148148145,1
136,Optimization from Structured Samples for Coverage Functions,8,Optimization from Structured Samples for Coverage Functions,19,174,False,13,52,0,11,3,8,7,2,0,59,8629,1.7272727272727273,0.0,4.7272727272727275,0.6363636363636364,1
138,PAGE: A Simple and Optimal Probabilistic Gradient Estimator for Nonconvex Optimization,8,PAGE A Simple and Optimal Probabilistic Gradient Estimator for Nonconvex Optimization,56,206,True,142,179,24,25,0,12,10,0,2,85,14044,2.24,1.04,7.16,0.4,99
139,PackIt: A Virtual Environment for Geometric Planning,8,PackIt A Virtual Environment for Geometric Planning,34,142,False,38,0,16,11,0,8,3,0,8,51,7850,3.090909090909091,2.1818181818181817,0.0,0.2727272727272727,10
