corpusid,arxiv_id,title,authors,filename,year,venue,citationcount,referencecount,influentialcitationcount,content_references,equations,figures,font,pages,paragraphs,sections,subsections,subsubsections,tables,words
246411498,2201.11921,Adaptive Best-of-Both-Worlds Algorithm for Heavy-Tailed Multi-Armed Bandits,"[{'authorId': '2115784127', 'name': 'Jiatai Huang'}, {'authorId': '2141764038', 'name': 'Yan Dai'}, {'authorId': None, 'name': 'Longbo Huang'}]",Adaptive Best-of-Both-Worlds Algorithm for Heavy-Tailed Multi-Armed Bandits,2022,International Conference on Machine Learning,11,32,2,62,346,0,NimbusRomNo9L,29,2,14,24,4,2,14649
204800762,1910.09529,Adaptive gradient descent without descent,"[{'authorId': '41158157', 'name': 'Yura Malitsky'}, {'authorId': '144950781', 'name': 'Konstantin Mishchenko'}]",Adaptive gradient descent without descent,2019,International Conference on Machine Learning,75,46,12,43,139,30,LMRoman10,22,8,9,10,0,0,10752
211076210,2002.04108,Adversarial Filters of Dataset Biases,"[{'authorId': '39227408', 'name': 'Ronan Le Bras'}, {'authorId': '2705113', 'name': 'Swabha Swayamdipta'}, {'authorId': '1857797', 'name': 'Chandra Bhagavatula'}, {'authorId': '2545335', 'name': 'Rowan Zellers'}, {'authorId': '39139825', 'name': 'Matthew E. Peters'}, {'authorId': '48229640', 'name': 'Ashish Sabharwal'}, {'authorId': '1699545', 'name': 'Yejin Choi'}]",Adversarial Filters of Dataset Biases,2020,International Conference on Machine Learning,188,61,25,120,10,4,NimbusRomNo9L,14,8,9,10,0,4,9479
236170854,2107.10302,Adversarial for Good? How the Adversarial ML Community's Values Impede Socially Beneficial Uses of Attacks,"[{'authorId': '79986228', 'name': 'Kendra Albert'}, {'authorId': '2376635', 'name': 'Maggie K. Delano'}, {'authorId': '21228890', 'name': 'B. Kulynych'}, {'authorId': '2117776576', 'name': 'R. Kumar'}]",Adversarial for Good How the Adversarial ML Communitys Values Impede Socially Beneficial Uses of Attacks,2021,International Conference on Machine Learning,4,113,0,40,0,0,NimbusRomNo9L,8,7,6,0,0,6,5534
201650607,1908.09345,Almost Tune-Free Variance Reduction,"[{'authorId': '2145726951', 'name': 'Bingcong Li'}, {'authorId': '35309616', 'name': 'Lingda Wang'}, {'authorId': '144321300', 'name': 'G. Giannakis'}]",Almost Tune-Free Variance Reduction,2019,International Conference on Machine Learning,16,30,1,96,122,27,Unknown,22,0,10,18,0,2,11242
246904670,2202.08578,An Equivalence Between Data Poisoning and Byzantine Gradient Attacks,"[{'authorId': '2044392690', 'name': 'Sadegh Farhadkhani'}, {'authorId': '1727558', 'name': 'R. Guerraoui'}, {'authorId': '3438462', 'name': 'L. Hoang'}, {'authorId': '2154761886', 'name': 'Oscar Villemaud'}]",An Equivalence Between Data Poisoning and Byzantine Gradient Attacks,2022,International Conference on Machine Learning,16,89,0,0,0,0,NimbusRomNo9L,40,0,0,0,0,0,24876
3644663,1802.04551,Analysis of Minimax Error Rate for Crowdsourcing and Its Application to Worker Clustering Model,"[{'authorId': '48219297', 'name': 'Hideaki Imamura'}, {'authorId': '73355331', 'name': 'Issei Sato'}, {'authorId': '67154907', 'name': 'Masashi Sugiyama'}]",Analysis of Minimax Error Rate for Crowdsourcing and Its Application to Worker Clustering Model,2018,International Conference on Machine Learning,23,33,0,83,46,18,NimbusRomNo9L,10,1,8,3,0,6,6895
246411423,2201.12090,Approximate Bayesian Computation with Domain Expert in the Loop,"[{'authorId': '144179404', 'name': 'Ayush Bharti'}, {'authorId': '35641210', 'name': 'Louis Filstroff'}, {'authorId': '1711144', 'name': 'Samuel Kaski'}]",Approximate Bayesian Computation with Domain Expert in the Loop,2022,International Conference on Machine Learning,4,52,0,68,30,29,NimbusRomNo9L,13,17,8,8,0,6,8263
220265906,2006.16540,Associative Memory in Iterated Overparameterized Sigmoid Autoencoders,"[{'authorId': '116503613', 'name': 'Yibo Jiang'}, {'authorId': '2577481', 'name': 'C. Pehlevan'}]",Associative Memory in Iterated Overparameterized Sigmoid Autoencoders,2020,International Conference on Machine Learning,11,40,0,61,386,57,NimbusRomNo9L,26,0,12,23,0,0,12290
247154919,2202.12316,AutoIP: A United Framework to Integrate Physics into Gaussian Processes,"[{'authorId': '31985091', 'name': 'D. Long'}, {'authorId': '11032852', 'name': 'Z. Wang'}, {'authorId': '15408096', 'name': 'A. Krishnapriyan'}, {'authorId': '152534535', 'name': 'Robert M. Kirby'}, {'authorId': '2390798', 'name': 'Shandian Zhe'}, {'authorId': '143884206', 'name': 'Michael W. Mahoney'}]",AutoIP A United Framework to Integrate Physics into Gaussian Processes,2022,International Conference on Machine Learning,9,48,0,4,0,0,Unknown,12,0,3,0,0,4,8466
211069585,1909.04568,"BINOCULARS for efficient, nonmyopic sequential experimental design","[{'authorId': '1944535', 'name': 'Shali Jiang'}, {'authorId': '40546711', 'name': 'Henry Chai'}, {'authorId': '1390665327', 'name': 'Javier I. González'}, {'authorId': '145974030', 'name': 'R. Garnett'}]",BINOCULARS for efficient nonmyopic sequential experimental design,2019,International Conference on Machine Learning,39,41,3,98,38,19,NimbusRomNo9L,13,0,11,4,0,12,8072
235377150,2106.05251,Bayesian Attention Belief Networks,"[{'authorId': '2107944048', 'name': 'Shujian Zhang'}, {'authorId': '8010189', 'name': 'Xinjie Fan'}, {'authorId': '2152686890', 'name': 'Bo Chen'}, {'authorId': '38026572', 'name': 'Mingyuan Zhou'}]",Bayesian Attention Belief Networks,2021,International Conference on Machine Learning,21,84,2,222,22,9,NimbusRomNo9L,14,0,8,9,13,16,10537
149447211,1906.01537,Bayesian Optimization of Composite Functions,"[{'authorId': '11234441', 'name': 'Raul Astudillo'}, {'authorId': '1922747', 'name': 'P. Frazier'}]",Bayesian Optimization of Composite Functions,2019,International Conference on Machine Learning,63,49,12,91,104,22,NimbusRomNo9L,18,0,13,15,0,2,10011
235490648,2106.10704,Better Training using Weight-Constrained Stochastic Dynamics,"[{'authorId': '2563294', 'name': 'B. Leimkuhler'}, {'authorId': '14611312', 'name': 'Tiffany J. Vlaar'}, {'authorId': '2804714', 'name': 'Timothée Pouchon'}, {'authorId': '1728216', 'name': 'A. Storkey'}]",Better Training using Weight-Constrained Stochastic Dynamics,2021,International Conference on Machine Learning,5,71,0,103,269,32,NimbusRomNo9L,26,0,11,18,1,10,18118
231740464,2102.00678,Binary Classification from Multiple Unlabeled Datasets via Surrogate Set Classification,"[{'authorId': '2047461168', 'name': 'Shida Lei'}, {'authorId': '2054645236', 'name': 'Nan Lu'}, {'authorId': '47537639', 'name': 'Gang Niu'}, {'authorId': '73355331', 'name': 'Issei Sato'}, {'authorId': '67154907', 'name': 'Masashi Sugiyama'}]",Binary Classification from Multiple Unlabeled Datasets via Surrogate Set Classification,2021,International Conference on Machine Learning,10,65,4,83,38,23,NimbusRomNo9L,20,6,5,11,1,8,12343
4098264,1803.08178,Boosted Density Estimation Remastered,"[{'authorId': '22200309', 'name': 'Zac Cranko'}, {'authorId': '1718786', 'name': 'R. Nock'}]",Boosted Density Estimation Remastered,2018,International Conference on Machine Learning,9,41,1,133,67,14,CMR10,36,1,8,5,6,2,15824
219966101,2006.11917,Breaking the Curse of Many Agents: Provable Mean Embedding Q-Iteration for Mean-Field Reinforcement Learning,"[{'authorId': '2151976110', 'name': 'Lingxiao Wang'}, {'authorId': '150358650', 'name': 'Zhuoran Yang'}, {'authorId': '3113442', 'name': 'Zhaoran Wang'}]",Breaking the Curse of Many Agents Provable Mean Embedding Q-Iteration for Mean-Field Reinforcement Learning,2020,International Conference on Machine Learning,24,94,1,0,8,0,CMR10,31,0,0,0,0,0,14526
235421054,2106.06667,CARTL: Cooperative Adversarially-Robust Transfer Learning,"[{'authorId': '2117798659', 'name': 'Dian Chen'}, {'authorId': '7150554', 'name': 'Hongxin Hu'}, {'authorId': '40102806', 'name': 'Qian Wang'}, {'authorId': '2117006858', 'name': 'Yinli Li'}, {'authorId': '2116638601', 'name': 'Cong Wang'}, {'authorId': '2088079836', 'name': 'Chao Shen'}, {'authorId': '2118912606', 'name': 'Qi Li'}]",CARTL Cooperative Adversarially-Robust Transfer Learning,2021,International Conference on Machine Learning,9,42,0,42,42,16,NimbusRomNo9L,12,0,13,12,0,16,7850
189762078,1906.05664,"Calibration, Entropy Rates, and Memory in Language Models","[{'authorId': '143803467', 'name': 'M. Braverman'}, {'authorId': '2109080835', 'name': 'Xinyi Chen'}, {'authorId': '144695232', 'name': 'S. Kakade'}, {'authorId': '144958935', 'name': 'Karthik Narasimhan'}, {'authorId': '15943185', 'name': 'Cyril Zhang'}, {'authorId': '2153912701', 'name': 'Yi Zhang'}]",Calibration Entropy Rates and Memory in Language Models,2019,International Conference on Machine Learning,30,64,1,60,107,9,CMR10,24,10,14,6,1,4,9278
221088264,2002.10066,Causal Strategic Linear Regression,"[{'authorId': '46253648', 'name': 'Yonadav Shavit'}, {'authorId': '2059129330', 'name': 'Benjamin L. Edelman'}, {'authorId': '37464985', 'name': 'Brian Axelrod'}]",Causal Strategic Linear Regression,2020,International Conference on Machine Learning,60,46,4,10,0,2,NimbusRomNo9L,17,0,1,1,0,0,10913
219573311,2002.03206,Characterizing Structural Regularities of Labeled Data in Overparameterized Models,"[{'authorId': '1732910', 'name': 'Ziheng Jiang'}, {'authorId': '151505981', 'name': 'Chiyuan Zhang'}, {'authorId': '35210462', 'name': 'Kunal Talwar'}, {'authorId': '144473519', 'name': 'M. Mozer'}]",Characterizing Structural Regularities of Labeled Data in Overparameterized Models,2020,International Conference on Machine Learning,69,44,13,47,10,40,Unknown,17,0,9,2,0,2,10571
211259498,2002.10400,Closing the convergence gap of SGD without replacement,"[{'authorId': '113117127', 'name': 'Shashank Rajput'}, {'authorId': '2110760712', 'name': 'Anant Gupta'}, {'authorId': '1740595', 'name': 'Dimitris Papailiopoulos'}]",Closing the convergence gap of SGD without replacement,2020,International Conference on Machine Learning,51,24,7,0,0,0,CMR10,38,0,0,0,0,0,17891
166227922,1905.10964,Combating Label Noise in Deep Learning Using Abstention,"[{'authorId': '1780360', 'name': 'S. Thulasidasan'}, {'authorId': '144296799', 'name': 'Tanmoy Bhattacharya'}, {'authorId': '1748118', 'name': 'J. Bilmes'}, {'authorId': '2530185', 'name': 'Gopinath Chennupati'}, {'authorId': '1401382238', 'name': 'J. Mohd-Yusof'}]",Combating Label Noise in Deep Learning Using Abstention,2019,International Conference on Machine Learning,157,41,9,10,12,6,Unknown,14,0,3,0,0,2,8931
3625405,1802.05399,Competitive caching with machine learned advice,"[{'authorId': '2558458', 'name': 'Thodoris Lykouris'}, {'authorId': '1749789', 'name': 'Sergei Vassilvitskii'}]",Competitive caching with machine learned advice,2018,International Conference on Machine Learning,299,41,40,0,0,0,SFRM1095,28,0,7,2,0,0,14764
250048431,2206.12081,Computationally Efficient PAC RL in POMDPs with Latent Determinism and Conditional Embeddings,"[{'authorId': '51228100', 'name': 'Masatoshi Uehara'}, {'authorId': '22265444', 'name': 'Ayush Sekhari'}, {'authorId': '2108327687', 'name': 'Jason D. Lee'}, {'authorId': '3174388', 'name': 'Nathan Kallus'}, {'authorId': '144426657', 'name': 'Wen Sun'}]",Computationally Efficient PAC RL in POMDPs with Latent Determinism and Conditional Embeddings,2022,International Conference on Machine Learning,5,66,0,0,98,0,NimbusRomNo9L,29,1,8,8,0,0,13564
235652094,2106.13798,Conjugate Energy-Based Models,"[{'authorId': '1491232360', 'name': 'Hao Wu'}, {'authorId': '2060199518', 'name': 'Babak Esmaeili'}, {'authorId': '2987641', 'name': 'Michael L. Wick'}, {'authorId': '1755724', 'name': 'Jean-Baptiste Tristan'}, {'authorId': '2086966519', 'name': 'Jan-Willem van de Meent'}]",Conjugate Energy-Based Models,2021,International Conference on Machine Learning,2,61,0,83,88,13,NimbusRomNo9L,19,8,9,10,0,6,12234
246824021,2202.05749,Constrained Optimization with Dynamic Bound-scaling for Effective NLPBackdoor Defense,"[{'authorId': '2052467415', 'name': 'Guangyu Shen'}, {'authorId': '3347155', 'name': 'Yingqi Liu'}, {'authorId': '48927894', 'name': 'Guanhong Tao'}, {'authorId': '50536989', 'name': 'Qiuling Xu'}, {'authorId': '2220690905', 'name': 'Zhuo Zhang'}, {'authorId': '2072528961', 'name': 'Shengwei An'}, {'authorId': '2026855', 'name': 'Shiqing Ma'}, {'authorId': '1771551', 'name': 'X. Zhang'}]",Constrained Optimization with Dynamic Bound-scaling for Effective NLPBackdoor Defense,2022,International Conference on Machine Learning,23,61,1,0,0,0,NimbusRomNo9L,13,0,0,0,0,0,9194
239024862,2110.10149,Continuous Control with Action Quantization from Demonstrations,"[{'authorId': '51914693', 'name': 'Robert Dadashi'}, {'authorId': '122562941', 'name': ""L'eonard Hussenot""}, {'authorId': '40412424', 'name': 'Damien Vincent'}, {'authorId': '35022714', 'name': 'Sertan Girgin'}, {'authorId': '150918315', 'name': 'Anton Raichuk'}, {'authorId': '1737555', 'name': 'M. Geist'}, {'authorId': '1721354', 'name': 'O. Pietquin'}]",Continuous Control with Action Quantization from Demonstrations,2021,International Conference on Machine Learning,15,91,0,168,18,33,CMMI10,21,21,13,12,9,22,12413
202539828,1908.04847,Convergence Rates of Variational Inference in Sparse Deep Learning,"[{'authorId': '2079945011', 'name': ""Badr-Eddine Ch'erief-Abdellatif""}]",Convergence Rates of Variational Inference in Sparse Deep Learning,2019,International Conference on Machine Learning,33,84,6,140,123,0,SFRM1095,38,0,12,9,0,0,15008
246430299,2201.12700,Coordinated Attacks against Contextual Bandits: Fundamental Limits and Defense Mechanisms,"[{'authorId': '49525366', 'name': 'Jeongyeol Kwon'}, {'authorId': '27098848', 'name': 'Yonathan Efroni'}, {'authorId': '1764494', 'name': 'C. Caramanis'}, {'authorId': '1712535', 'name': 'Shie Mannor'}]",Coordinated Attacks against Contextual Bandits Fundamental Limits and Defense Mechanisms,2022,International Conference on Machine Learning,5,48,0,7,70,5,NimbusRomNo9L,18,6,11,6,0,0,11705
214713859,2003.12694,Countering Language Drift with Seeded Iterated Learning,"[{'authorId': '12016940', 'name': 'Yuchen Lu'}, {'authorId': '1466543874', 'name': 'Soumye Singhal'}, {'authorId': '3367628', 'name': 'Florian Strub'}, {'authorId': '1721354', 'name': 'O. Pietquin'}, {'authorId': '1760871', 'name': 'Aaron C. Courville'}]",Countering Language Drift with Seeded Iterated Learning,2020,International Conference on Machine Learning,61,65,3,158,8,79,NimbusRomNo9L,20,26,14,7,0,6,12211
3988570,1803.07068,D2: Decentralized Training over Decentralized Data,"[{'authorId': '39278465', 'name': 'Hanlin Tang'}, {'authorId': '2922996', 'name': 'Xiangru Lian'}, {'authorId': '2047087220', 'name': 'Ming Yan'}, {'authorId': '1776014', 'name': 'Ce Zhang'}, {'authorId': '40478933', 'name': 'Ji Liu'}]",D2 Decentralized Training over Decentralized Data,2018,International Conference on Machine Learning,302,42,39,73,170,6,URWPalladioL,25,8,7,3,0,0,9229
249192018,2205.14959,Dataset Condensation via Efficient Synthetic-Data Parameterization,"[{'authorId': '2907962', 'name': 'Jang-Hyun Kim'}, {'authorId': '2130363283', 'name': 'Jinuk Kim'}, {'authorId': '2390510', 'name': 'Seong Joon Oh'}, {'authorId': '2151587', 'name': 'Sangdoo Yun'}, {'authorId': '22656934', 'name': 'Hwanjun Song'}, {'authorId': '147087848', 'name': 'Joonhyun Jeong'}, {'authorId': '2577039', 'name': 'Jung-Woo Ha'}, {'authorId': '2133680', 'name': 'Hyun Oh Song'}]",Dataset Condensation via Efficient Synthetic-Data Parameterization,2022,International Conference on Machine Learning,73,40,20,160,27,60,NimbusRomNo9L,17,13,14,20,0,28,11233
235652395,2106.13401,Decomposed Mutual Information Estimation for Contrastive Representation Learning,"[{'authorId': '2041695', 'name': 'Alessandro Sordoni'}, {'authorId': '46217681', 'name': 'Nouha Dziri'}, {'authorId': '1944614', 'name': 'Hannes Schulz'}, {'authorId': '21889436', 'name': 'Geoffrey J. Gordon'}, {'authorId': '143902541', 'name': 'Philip Bachman'}, {'authorId': '15032777', 'name': 'Rémi Tachet des Combes'}]",Decomposed Mutual Information Estimation for Contrastive Representation Learning,2021,International Conference on Machine Learning,24,58,3,0,0,0,NimbusRomNo9L,21,0,0,0,0,0,12523
255125474,2212.12749,Deep Latent State Space Models for Time-Series Generation,"[{'authorId': '1832922', 'name': 'Linqi Zhou'}, {'authorId': '40585370', 'name': 'Michael Poli'}, {'authorId': '2110536989', 'name': 'Winnie Xu'}, {'authorId': '90467999', 'name': 'Stefano Massaroli'}, {'authorId': '2490652', 'name': 'Stefano Ermon'}]",Deep Latent State Space Models for Time-Series Generation,2022,International Conference on Machine Learning,12,58,1,67,58,10,NimbusRomNo9L,19,0,4,10,0,4,9750
174800787,1906.02736,DeepMDP: Learning Continuous Latent Space Models for Representation Learning,"[{'authorId': '52382152', 'name': 'Carles Gelada'}, {'authorId': '2121434953', 'name': 'Saurabh Kumar'}, {'authorId': '47619311', 'name': 'Jacob Buckman'}, {'authorId': '7624658', 'name': 'Ofir Nachum'}, {'authorId': '1792298', 'name': 'Marc G. Bellemare'}]",DeepMDP Learning Continuous Latent Space Models for Representation Learning,2019,International Conference on Machine Learning,239,62,28,125,106,49,CMMI10,31,0,15,37,4,4,17984
235623736,2106.12764,Density Constrained Reinforcement Learning,"[{'authorId': '88267728', 'name': 'Zengyi Qin'}, {'authorId': '2121395847', 'name': 'Yuxiao Chen'}, {'authorId': '2344739', 'name': 'Chuchu Fan'}]",Density Constrained Reinforcement Learning,2021,International Conference on Machine Learning,31,54,5,0,0,0,NimbusRomNo9L,16,0,1,0,0,0,10371
48355590,1806.04326,Differentiable Compositional Kernel Learning for Gaussian Processes,"[{'authorId': None, 'name': 'Shengyang Sun'}, {'authorId': '46266081', 'name': 'Guodong Zhang'}, {'authorId': '13817193', 'name': 'Chaoqi Wang'}, {'authorId': '3468942', 'name': 'Wenyuan Zeng'}, {'authorId': '22133106', 'name': 'Jiaman Li'}, {'authorId': '1785346', 'name': 'R. Grosse'}]",Differentiable Compositional Kernel Learning for Gaussian Processes,2018,International Conference on Machine Learning,68,35,6,101,116,52,NimbusRomNo9L,21,0,17,18,2,8,11948
249926995,2206.10685,Differentially Private Maximal Information Coefficients,"[{'authorId': '1396120283', 'name': 'John Lazarsfeld'}, {'authorId': '145201307', 'name': 'Aaron Johnson'}, {'authorId': '2045001104', 'name': 'Emmanuel Adéníran'}]",Differentially Private Maximal Information Coefficients,2022,International Conference on Machine Learning,0,31,0,105,320,17,NimbusRomNo9L,38,4,13,23,15,6,23573
235446829,2106.08678,Directed Graph Embeddings in Pseudo-Riemannian Manifolds,"[{'authorId': '2064224921', 'name': 'Aaron Sim'}, {'authorId': '71672330', 'name': 'Maciej Wiatrak'}, {'authorId': '2112682825', 'name': 'Angus Brayne'}, {'authorId': '145356627', 'name': 'Páidí Creed'}, {'authorId': '2992270', 'name': 'Saee Paliwal'}]",Directed Graph Embeddings in Pseudo-Riemannian Manifolds,2021,International Conference on Machine Learning,12,36,1,84,50,18,NimbusRomNo9L,14,6,8,13,10,12,9506
248661461,2207.10050,Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations,"[{'authorId': '49507262', 'name': 'Haoran Xu'}, {'authorId': '2242851906', 'name': 'Xianyuan Zhan'}]",Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations,2022,International Conference on Machine Learning,37,68,7,134,58,23,NimbusRomNo9L,19,0,10,17,0,4,11469
246652582,2202.03926,Distribution Regression with Sliced Wasserstein Kernels,"[{'authorId': '2047832379', 'name': 'D. Meunier'}, {'authorId': '1704699', 'name': 'M. Pontil'}, {'authorId': '7666146', 'name': 'C. Ciliberto'}]",Distribution Regression with Sliced Wasserstein Kernels,2022,International Conference on Machine Learning,11,64,3,139,198,6,NimbusRomNo9L,23,4,16,4,0,6,14197
211205159,2002.08546,Do We Really Need to Access the Source Data? Source Hypothesis Transfer for Unsupervised Domain Adaptation,"[{'authorId': '143932869', 'name': 'Jian Liang'}, {'authorId': '49592281', 'name': 'Dapeng Hu'}, {'authorId': '33221685', 'name': 'Jiashi Feng'}]",Do We Really Need to Access the Source Data Source Hypothesis Transfer for Unsupervised Domain Adaptation,2020,International Conference on Machine Learning,877,79,275,170,24,20,NimbusRomNo9L,12,0,6,12,0,18,9287
239998380,2110.14565,DreamerPro: Reconstruction-Free Model-Based Reinforcement Learning with Prototypical Representations,"[{'authorId': '1379946625', 'name': 'Fei Deng'}, {'authorId': '2941497', 'name': 'Ingook Jang'}, {'authorId': '1882851', 'name': 'Sungjin Ahn'}]",DreamerPro Reconstruction-Free Model-Based Reinforcement Learning with Prototypical Representations,2021,International Conference on Machine Learning,40,41,9,120,16,12,CMMI7,12,0,7,5,1,6,6747
201646245,1908.10283,Early Classification for Agricultural Monitoring from Satellite Time Series,"[{'authorId': '35469144', 'name': 'M. Rußwurm'}, {'authorId': '2576923', 'name': 'R. Tavenard'}, {'authorId': '47744684', 'name': 'S. Lefèvre'}, {'authorId': '2388085', 'name': 'Marco Körner'}]",Early Classification for Agricultural Monitoring from Satellite Time Series,2019,International Conference on Machine Learning,17,17,2,26,8,6,NimbusRomNo9L,5,0,5,6,0,2,3693
84187276,1903.08254,Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables,"[{'authorId': '2660664', 'name': 'Kate Rakelly'}, {'authorId': '35499972', 'name': 'Aurick Zhou'}, {'authorId': '47202040', 'name': 'Deirdre Quillen'}, {'authorId': '46881670', 'name': 'Chelsea Finn'}, {'authorId': '1736651', 'name': 'S. Levine'}]",Efficient Off-Policy Meta-Reinforcement Learning via Probabilistic Context Variables,2019,International Conference on Machine Learning,540,47,131,0,0,0,NimbusRomNo9L,11,0,0,0,0,0,7161
219721385,2006.09481,Efficient nonparametric statistical inference on population feature importance using Shapley values,"[{'authorId': '49695237', 'name': 'B. Williamson'}, {'authorId': '4075731', 'name': 'Jean Feng'}]",Efficient nonparametric statistical inference on population feature importance using Shapley values,2020,International Conference on Machine Learning,59,32,6,74,112,9,NimbusRomNo9L,15,0,13,8,0,2,10709
212737060,2003.07521,Energy-Based Processes for Exchangeable Data,"[{'authorId': '46235335', 'name': 'Mengjiao Yang'}, {'authorId': '144445933', 'name': 'Bo Dai'}, {'authorId': '2791430', 'name': 'H. Dai'}, {'authorId': '50319359', 'name': 'D. Schuurmans'}]",Energy-Based Processes for Exchangeable Data,2020,International Conference on Machine Learning,10,75,1,288,132,40,CMR10,32,11,13,24,4,4,12436
