,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
83,37,116,False,115,116,16,13,22,14,4,0,2,64,8218,2.8461538461538463,1.3846153846153846,8.923076923076923,0.3076923076923077,219
84,31,128,False,94,62,3,13,8,15,12,5,6,87,9233,2.3846153846153846,0.6923076923076923,4.769230769230769,0.9230769230769231,333
85,36,88,False,100,293,0,25,5,14,20,1,0,77,13994,1.44,0.0,11.72,0.8,0
86,48,162,False,68,62,15,13,0,8,17,0,10,65,9560,3.6923076923076925,1.9230769230769231,4.769230769230769,1.3076923076923077,369
87,56,1,False,98,312,12,30,0,22,30,0,0,61,14072,1.8666666666666667,0.4,10.4,1.0,14
88,72,1,False,131,144,2,25,3,11,15,2,0,50,12640,2.88,0.08,5.76,0.6,3
89,58,91,False,115,106,0,27,6,13,11,0,0,68,17010,2.1481481481481484,0.0,3.925925925925926,0.4074074074074074,307
90,30,166,False,77,84,63,23,20,10,14,0,4,63,12881,1.3043478260869565,2.9130434782608696,3.652173913043478,0.6086956521739131,7
91,39,186,False,132,64,30,13,0,24,18,0,16,66,8745,3.0,3.5384615384615383,4.923076923076923,1.3846153846153846,12
92,41,119,True,114,236,3,31,9,10,3,1,4,38,16268,1.3225806451612903,0.22580645161290322,7.612903225806452,0.0967741935483871,215
94,40,213,False,131,62,17,23,12,10,15,0,10,76,15659,1.7391304347826086,1.173913043478261,2.6956521739130435,0.6521739130434783,15
95,50,179,False,142,150,16,21,3,10,10,0,4,43,13026,2.380952380952381,0.9523809523809523,7.142857142857143,0.47619047619047616,19
96,49,176,False,76,24,6,10,9,6,6,6,6,71,7390,4.9,1.2,2.4,0.6,78
97,60,150,False,89,14,50,17,5,12,5,0,36,67,10804,3.5294117647058822,5.0588235294117645,0.8235294117647058,0.29411764705882354,14
98,61,195,False,108,152,64,31,20,12,16,0,4,86,17093,1.967741935483871,2.193548387096774,4.903225806451613,0.5161290322580645,30
99,36,29,False,62,216,0,30,4,10,30,0,0,71,13041,1.2,0.0,7.2,1.0,154
101,220,216,False,514,0,67,48,12,15,20,6,34,69,35678,4.583333333333333,2.1041666666666665,0.0,0.4166666666666667,14151
102,42,153,False,53,146,23,36,7,11,7,0,2,57,16189,1.1666666666666667,0.6944444444444444,4.055555555555555,0.19444444444444445,3
103,51,196,False,47,44,66,22,0,6,10,0,14,83,6298,2.3181818181818183,3.6363636363636362,2.0,0.45454545454545453,6
105,28,1,False,384,1076,66,48,62,26,36,0,0,64,26391,0.5833333333333334,1.375,22.416666666666668,0.75,36
106,71,155,False,165,82,15,16,9,14,16,2,12,56,11096,4.4375,1.6875,5.125,1.0,132
107,69,157,False,182,28,49,23,2,12,11,2,10,75,12382,3.0,2.5652173913043477,1.2173913043478262,0.4782608695652174,4
108,33,172,False,198,112,0,21,0,7,10,0,4,57,7984,1.5714285714285714,0.19047619047619047,5.333333333333333,0.47619047619047616,42
109,54,159,True,134,25,6,10,0,6,10,1,10,109,7940,5.4,1.6,2.5,1.0,23
110,57,148,False,186,145,0,35,0,14,9,0,8,43,13327,1.6285714285714286,0.22857142857142856,4.142857142857143,0.2571428571428571,3
111,38,177,False,105,127,3,26,0,8,10,2,10,57,10835,1.4615384615384615,0.5,4.884615384615385,0.38461538461538464,1
112,60,1,False,120,580,36,41,2,32,32,0,16,41,15631,1.4634146341463414,1.2682926829268293,14.146341463414634,0.7804878048780488,54
114,48,154,False,56,72,2,20,6,7,7,3,0,77,7819,2.4,0.1,3.6,0.35,4
115,61,159,False,169,70,16,18,31,14,22,11,6,62,10705,3.388888888888889,1.2222222222222223,3.888888888888889,1.2222222222222223,35
116,36,145,False,117,306,40,18,11,19,44,9,18,37,10448,2.0,3.2222222222222223,17.0,2.4444444444444446,33
117,57,118,False,69,16,15,16,0,7,15,0,12,78,9343,3.5625,1.6875,1.0,0.9375,201
118,23,97,False,35,161,0,25,18,12,8,0,0,48,15840,0.92,0.0,6.44,0.32,15
119,21,236,False,49,51,0,22,2,12,24,0,0,42,10690,0.9545454545454546,0.0,2.3181818181818183,1.0909090909090908,15
120,43,115,False,151,10,45,21,16,13,17,0,26,70,10094,2.0476190476190474,3.380952380952381,0.47619047619047616,0.8095238095238095,33
121,62,168,False,365,120,97,22,0,38,5,0,44,87,12338,2.8181818181818183,6.409090909090909,5.454545454545454,0.22727272727272727,11
123,51,206,False,61,348,16,39,0,9,20,4,0,86,15451,1.3076923076923077,0.41025641025641024,8.923076923076923,0.5128205128205128,25
124,41,196,False,93,254,46,52,0,9,21,10,4,103,21507,0.7884615384615384,0.9615384615384616,4.884615384615385,0.40384615384615385,7
127,52,164,False,83,56,86,23,0,8,5,0,6,36,9982,2.260869565217391,4.0,2.4347826086956523,0.21739130434782608,44
128,42,1,False,0,8,0,24,0,8,1,0,0,56,13787,1.75,0.0,0.3333333333333333,0.041666666666666664,7
129,40,164,False,96,301,8,39,0,12,13,0,0,80,16634,1.0256410256410255,0.20512820512820512,7.717948717948718,0.3333333333333333,2
130,60,161,False,215,68,18,17,6,14,7,0,4,75,12246,3.5294117647058822,1.2941176470588236,4.0,0.4117647058823529,23
131,40,107,False,96,152,32,16,0,17,16,0,4,101,10762,2.5,2.25,9.5,1.0,4
132,44,185,False,45,8,24,12,6,10,16,0,0,81,9122,3.6666666666666665,2.0,0.6666666666666666,1.3333333333333333,116
133,48,0,False,67,84,0,31,3,9,14,2,0,55,13203,1.5483870967741935,0.0,2.7096774193548385,0.45161290322580644,9
134,55,159,False,102,136,22,18,16,14,13,0,0,47,11038,3.0555555555555554,1.2222222222222223,7.555555555555555,0.7222222222222222,142
135,49,141,False,126,172,10,27,1,10,13,3,0,113,11027,1.8148148148148149,0.37037037037037035,6.37037037037037,0.48148148148148145,1
136,19,174,False,13,52,0,11,3,8,7,2,0,59,8629,1.7272727272727273,0.0,4.7272727272727275,0.6363636363636364,1
138,56,206,True,142,179,24,25,0,12,10,0,2,85,14044,2.24,1.04,7.16,0.4,99
139,34,142,False,38,0,16,11,0,8,3,0,8,51,7850,3.090909090909091,2.1818181818181817,0.0,0.2727272727272727,10
140,38,115,False,124,32,38,16,1,7,14,2,42,117,8604,2.375,5.0,2.0,0.875,30
141,70,167,False,222,36,14,23,1,10,5,0,6,58,12913,3.0434782608695654,0.8695652173913043,1.565217391304348,0.21739130434782608,54
142,51,1,False,86,84,33,24,0,10,19,0,20,71,15418,2.125,2.2083333333333335,3.5,0.7916666666666666,34
143,44,138,False,101,24,7,10,0,6,6,7,14,59,7186,4.4,2.1,2.4,0.6,80
144,49,160,False,74,84,5,18,0,12,24,6,2,44,10312,2.7222222222222223,0.3888888888888889,4.666666666666667,1.3333333333333333,22
145,16,89,False,13,0,45,3,0,8,1,1,10,48,2155,5.333333333333333,18.333333333333332,0.0,0.3333333333333333,18
146,32,220,False,70,154,22,22,0,11,13,0,4,110,12792,1.4545454545454546,1.1818181818181819,7.0,0.5909090909090909,10
147,43,155,False,81,6,24,15,8,10,15,0,14,65,8748,2.8666666666666667,2.533333333333333,0.4,1.0,73
148,44,1,False,101,320,15,42,9,14,17,3,6,70,19142,1.0476190476190477,0.5,7.619047619047619,0.40476190476190477,12
150,72,270,False,46,170,104,34,0,9,26,0,4,51,15887,2.1176470588235294,3.176470588235294,5.0,0.7647058823529411,11
151,68,149,True,54,74,51,18,0,10,14,0,4,59,10590,3.7777777777777777,3.0555555555555554,4.111111111111111,0.7777777777777778,149
152,28,180,False,64,130,14,25,11,14,14,0,0,87,20192,1.12,0.56,5.2,0.56,6
153,100,202,False,117,96,24,21,5,9,15,0,0,71,15090,4.761904761904762,1.1428571428571428,4.571428571428571,0.7142857142857143,12
154,44,197,False,94,134,12,36,15,12,23,0,0,46,15390,1.2222222222222223,0.3333333333333333,3.7222222222222223,0.6388888888888888,24
155,43,141,False,67,40,40,15,5,12,16,0,22,61,9461,2.8666666666666667,4.133333333333334,2.6666666666666665,1.0666666666666667,0
156,39,229,False,107,121,42,27,0,12,14,0,0,108,17130,1.4444444444444444,1.5555555555555556,4.481481481481482,0.5185185185185185,5
157,58,141,False,138,2,60,19,5,14,16,0,6,44,9561,3.0526315789473686,3.473684210526316,0.10526315789473684,0.8421052631578947,179
158,70,134,False,173,38,16,18,24,13,20,0,16,68,12227,3.888888888888889,1.7777777777777777,2.111111111111111,1.1111111111111112,3
159,28,160,False,103,2,13,14,11,9,7,0,0,55,8777,2.0,0.9285714285714286,0.14285714285714285,0.5,12
160,32,169,False,219,12,33,18,0,29,40,23,16,40,8830,1.7777777777777777,2.7222222222222223,0.6666666666666666,2.2222222222222223,24
161,39,183,True,181,110,39,23,0,18,13,3,0,98,14215,1.6956521739130435,1.6956521739130435,4.782608695652174,0.5652173913043478,9
165,28,184,False,70,660,130,26,0,18,38,8,0,86,14307,1.0769230769230769,5.0,25.384615384615383,1.4615384615384615,16
166,34,171,True,42,42,12,11,0,5,10,15,14,63,7285,3.090909090909091,2.3636363636363638,3.8181818181818183,0.9090909090909091,61
167,74,220,False,133,434,18,59,2,9,19,0,8,89,24492,1.2542372881355932,0.4406779661016949,7.3559322033898304,0.3220338983050847,7
168,74,144,True,189,148,32,23,1,9,17,1,6,70,15053,3.217391304347826,1.6521739130434783,6.434782608695652,0.7391304347826086,6
169,32,81,False,37,324,33,50,0,11,15,0,2,61,23422,0.64,0.7,6.48,0.3,14
170,76,164,True,138,8,0,12,5,7,16,0,14,50,6451,6.333333333333333,1.1666666666666667,0.6666666666666666,1.3333333333333333,52
171,42,211,False,54,216,16,41,9,7,18,9,4,71,14547,1.024390243902439,0.4878048780487805,5.2682926829268295,0.43902439024390244,12
172,45,104,False,32,132,18,22,6,7,12,0,0,57,9638,2.0454545454545454,0.8181818181818182,6.0,0.5454545454545454,80
173,25,83,False,60,96,46,20,11,14,17,0,6,41,12165,1.25,2.6,4.8,0.85,3
174,45,131,False,128,32,20,12,0,16,22,11,16,85,7417,3.75,3.0,2.6666666666666665,1.8333333333333333,6
175,46,166,False,115,111,6,23,4,14,11,0,2,43,13369,2.0,0.34782608695652173,4.826086956521739,0.4782608695652174,156
177,32,128,False,68,0,98,11,0,14,24,16,16,92,6918,2.909090909090909,10.363636363636363,0.0,2.1818181818181817,709
178,51,131,False,133,102,94,33,0,15,23,3,20,87,18197,1.5454545454545454,3.4545454545454546,3.090909090909091,0.696969696969697,1
179,57,161,True,262,44,46,13,34,15,22,0,24,41,8518,4.384615384615385,5.384615384615385,3.3846153846153846,1.6923076923076923,27
180,41,214,True,89,18,2,23,0,14,5,0,0,143,15221,1.7826086956521738,0.08695652173913043,0.782608695652174,0.21739130434782608,7
181,94,158,False,227,4,30,16,36,11,13,7,14,45,11420,5.875,2.75,0.25,0.8125,7
184,55,204,False,91,16,45,24,9,12,10,0,2,57,10732,2.2916666666666665,1.9583333333333333,0.6666666666666666,0.4166666666666667,96
185,54,140,False,144,294,7,27,0,13,7,0,0,55,11740,2.0,0.25925925925925924,10.88888888888889,0.25925925925925924,8
186,29,74,False,48,20,76,17,3,11,8,0,24,84,8525,1.7058823529411764,5.882352941176471,1.1764705882352942,0.47058823529411764,38
187,55,1,False,81,198,4,26,4,21,27,9,34,66,17426,2.1153846153846154,1.4615384615384615,7.615384615384615,1.0384615384615385,643
188,51,1,False,111,1622,73,76,41,25,50,28,18,75,32162,0.6710526315789473,1.1973684210526316,21.342105263157894,0.6578947368421053,20
189,53,199,False,101,0,30,12,9,7,11,0,10,56,7986,4.416666666666667,3.3333333333333335,0.0,0.9166666666666666,22
190,42,197,False,111,14,2,12,0,7,5,0,2,58,8472,3.5,0.3333333333333333,1.1666666666666667,0.4166666666666667,21
192,33,139,False,69,54,24,13,0,10,8,0,4,74,9619,2.5384615384615383,2.1538461538461537,4.153846153846154,0.6153846153846154,325
193,27,184,False,52,272,32,25,3,18,8,0,2,49,14264,1.08,1.36,10.88,0.32,3
194,46,108,False,132,22,162,20,0,16,14,0,0,60,12710,2.3,8.1,1.1,0.7,25
195,49,171,False,68,102,47,26,7,15,20,6,0,28,17528,1.8846153846153846,1.8076923076923077,3.923076923076923,0.7692307692307693,24
196,49,138,False,111,78,29,17,12,9,14,3,6,47,10620,2.8823529411764706,2.0588235294117645,4.588235294117647,0.8235294117647058,14
197,29,83,False,31,149,373,42,23,18,4,1,0,82,19282,0.6904761904761905,8.880952380952381,3.5476190476190474,0.09523809523809523,23
199,18,181,False,43,188,11,20,0,11,9,1,0,70,10773,0.9,0.55,9.4,0.45,46
200,52,228,False,49,20,37,16,0,6,13,9,22,70,10602,3.25,3.6875,1.25,0.8125,32
201,49,191,False,122,113,0,20,0,7,14,0,2,59,12580,2.45,0.1,5.65,0.7,17
202,27,123,False,47,62,66,20,0,12,18,0,14,91,8260,1.35,4.0,3.1,0.9,15
204,110,230,False,149,430,6,38,0,14,18,0,4,120,21571,2.8947368421052633,0.2631578947368421,11.31578947368421,0.47368421052631576,18
205,41,199,False,195,58,35,25,0,22,15,0,2,94,15614,1.64,1.48,2.32,0.6,34
207,32,168,False,78,0,42,17,9,6,9,0,4,56,9498,1.8823529411764706,2.7058823529411766,0.0,0.5294117647058824,49
208,42,106,True,115,53,21,13,0,9,5,0,20,95,7876,3.230769230769231,3.1538461538461537,4.076923076923077,0.38461538461538464,177
209,32,149,True,38,214,27,18,0,12,5,0,0,62,10537,1.7777777777777777,1.5,11.88888888888889,0.2777777777777778,6
210,47,103,False,172,19,22,13,5,10,4,0,2,36,9095,3.6153846153846154,1.8461538461538463,1.4615384615384615,0.3076923076923077,34
211,30,143,False,80,119,22,21,12,13,2,0,4,69,12554,1.4285714285714286,1.2380952380952381,5.666666666666667,0.09523809523809523,27
212,66,140,False,75,48,28,13,8,10,5,0,4,85,9178,5.076923076923077,2.4615384615384617,3.6923076923076925,0.38461538461538464,60
214,48,203,False,106,36,8,11,9,7,9,0,8,67,8055,4.363636363636363,1.4545454545454546,3.272727272727273,0.8181818181818182,92
215,37,137,False,68,134,16,9,9,10,11,2,4,56,6793,4.111111111111111,2.2222222222222223,14.88888888888889,1.2222222222222223,6
216,41,112,False,103,182,18,22,0,11,18,0,0,55,12202,1.8636363636363635,0.8181818181818182,8.272727272727273,0.8181818181818182,4
217,79,142,False,141,238,34,35,25,13,19,0,8,69,19188,2.257142857142857,1.2,6.8,0.5428571428571428,0
218,69,168,False,119,271,49,33,1,13,9,0,0,69,18928,2.090909090909091,1.4848484848484849,8.212121212121213,0.2727272727272727,14
219,114,191,False,99,71,27,23,0,9,5,0,14,61,18131,4.956521739130435,1.7826086956521738,3.0869565217391304,0.21739130434782608,191
220,32,137,False,56,56,28,13,0,10,12,0,0,66,8555,2.4615384615384617,2.1538461538461537,4.3076923076923075,0.9230769230769231,122
222,46,132,False,28,126,11,28,8,11,8,1,0,75,16627,1.6428571428571428,0.39285714285714285,4.5,0.2857142857142857,79
223,29,166,False,92,10,0,10,10,7,11,0,2,65,7207,2.9,0.2,1.0,1.1,29
224,44,0,False,144,190,53,34,2,9,18,0,0,41,12989,1.2941176470588236,1.5588235294117647,5.588235294117647,0.5294117647058824,25
225,48,154,True,104,18,16,12,0,12,10,0,4,82,8969,4.0,1.6666666666666667,1.5,0.8333333333333334,56
226,87,1,True,118,8,25,14,0,10,9,0,18,69,9564,6.214285714285714,3.0714285714285716,0.5714285714285714,0.6428571428571429,18
227,68,172,False,133,96,21,37,21,21,23,0,26,57,19267,1.837837837837838,1.2702702702702702,2.5945945945945947,0.6216216216216216,49
228,39,127,False,90,28,47,18,0,10,16,0,0,82,11554,2.1666666666666665,2.611111111111111,1.5555555555555556,0.8888888888888888,82
229,41,0,False,55,14,22,22,0,6,11,0,6,47,10507,1.8636363636363635,1.2727272727272727,0.6363636363636364,0.5,3
230,37,1,False,45,126,6,23,2,10,2,0,0,53,15197,1.608695652173913,0.2608695652173913,5.478260869565218,0.08695652173913043,6
231,40,126,False,125,48,26,13,6,10,10,0,8,60,7774,3.076923076923077,2.6153846153846154,3.6923076923076925,0.7692307692307693,87
232,36,105,False,80,8,50,21,0,13,23,0,26,52,12434,1.7142857142857142,3.619047619047619,0.38095238095238093,1.0952380952380953,3
233,64,0,False,2,12,11,40,0,6,1,1,0,88,20839,1.6,0.275,0.3,0.025,60
234,46,143,False,57,154,38,25,0,9,21,0,2,75,13616,1.84,1.6,6.16,0.84,46
235,59,230,False,100,10,39,19,0,12,8,2,14,69,10639,3.1052631578947367,2.789473684210526,0.5263157894736842,0.42105263157894735,33
236,66,123,False,133,446,5,35,0,12,22,0,10,85,20572,1.8857142857142857,0.42857142857142855,12.742857142857142,0.6285714285714286,6
237,27,138,False,43,60,33,15,0,12,13,5,0,35,8797,1.8,2.2,4.0,0.8666666666666667,3
238,145,184,True,244,0,19,27,17,10,7,1,18,61,14003,5.37037037037037,1.3703703703703705,0.0,0.25925925925925924,52
239,56,203,True,143,98,7,23,20,11,8,0,4,92,13446,2.4347826086956523,0.4782608695652174,4.260869565217392,0.34782608695652173,4
240,65,0,False,44,302,6,45,23,12,21,7,0,55,14732,1.4444444444444444,0.13333333333333333,6.711111111111111,0.4666666666666667,20
241,37,199,False,73,40,3,13,16,7,6,0,0,45,8245,2.8461538461538463,0.23076923076923078,3.076923076923077,0.46153846153846156,51
242,40,191,False,167,52,24,15,9,10,9,0,6,33,9307,2.6666666666666665,2.0,3.466666666666667,0.6,97
243,34,199,False,84,46,21,12,10,10,12,0,8,39,8356,2.8333333333333335,2.4166666666666665,3.8333333333333335,1.0,140
245,39,130,False,64,2,197,27,0,11,8,0,16,100,10579,1.4444444444444444,7.888888888888889,0.07407407407407407,0.2962962962962963,4
246,65,140,False,126,150,33,28,33,11,22,0,6,74,15121,2.3214285714285716,1.3928571428571428,5.357142857142857,0.7857142857142857,121
247,61,162,False,72,16,97,28,5,12,29,1,20,64,13770,2.1785714285714284,4.178571428571429,0.5714285714285714,1.0357142857142858,22
249,36,155,False,43,204,21,15,0,7,8,0,8,113,8561,2.4,1.9333333333333333,13.6,0.5333333333333333,22
250,29,140,False,112,83,36,25,0,10,14,0,0,87,13455,1.16,1.44,3.32,0.56,27
251,38,129,False,40,56,17,18,13,9,21,0,0,46,13639,2.111111111111111,0.9444444444444444,3.111111111111111,1.1666666666666667,36
252,38,92,False,38,0,86,19,0,13,11,0,4,64,10241,2.0,4.7368421052631575,0.0,0.5789473684210527,35
253,53,172,False,174,278,65,40,22,28,69,44,20,89,26144,1.325,2.125,6.95,1.725,1
254,54,134,False,34,41,30,27,0,13,4,0,0,50,8768,2.0,1.1111111111111112,1.5185185185185186,0.14814814814814814,3
255,54,129,False,108,12,24,11,9,9,6,0,16,71,6980,4.909090909090909,3.6363636363636362,1.0909090909090908,0.5454545454545454,13312
256,75,190,False,83,42,24,12,1,5,5,0,2,108,9140,6.25,2.1666666666666665,3.5,0.4166666666666667,22
257,71,130,False,92,33,18,13,1,10,11,2,10,92,8138,5.461538461538462,2.1538461538461537,2.5384615384615383,0.8461538461538461,349
258,58,185,False,144,93,33,18,0,11,2,0,0,60,12390,3.2222222222222223,1.8333333333333333,5.166666666666667,0.1111111111111111,8
