Topic,Count,Name,Representation,Representative_Docs,citationcount
13,37,13_speech_et_al_et al,"['speech', 'et', 'al', 'et al', 'model', 'translation', 'speaker', 'audio', 'models', 'language']","['On Collective Robustness of Bagging Against Data Poisoning', 'Principled Learning Method for Wasserstein distributionally robust optimization with local perturbations', 'Dataset Dynamics via Gradient Flows in Probability Space']",46
14,36,14_gan_discriminator_gans_generator,"['gan', 'discriminator', 'gans', 'generator', 'image', 'al', 'et al', 'et', 'generative', 'images']","['Ready Policy One World Building Through Active Learning', 'Minimax-Optimal Off-Policy Evaluation with Linear Function Approximation', 'Linear Transformers Are Secretly Fast Weight Programmers']",256
15,35,15_clustering_algorithm_cluster_kmeans,"['clustering', 'algorithm', 'cluster', 'kmeans', 'set', 'points', 'lemma', 'cost', 'clusters', 'centers']","['Adversarial Mutual Information for Text Generation', 'Operation-Aware Soft Channel Pruning using Differentiable Masks', 'Active learning of continuous-time Bayesian networks through interventions']",117
16,33,16_federated_clients_local_federated learning,"['federated', 'clients', 'local', 'federated learning', 'client', 'learning', 'fl', 'global', 'et', 'al']","['Neural Tangent Kernel Analysis of Deep Narrow Neural Networks', 'Multi-Task Reinforcement Learning with Context-based Representations', 'Multi-layered Network Exploration via Random Walks From Offline Optimization to Online Learning']",127
17,33,17_group_equivariant_equivariance_et al,"['group', 'equivariant', 'equivariance', 'et al', 'al', 'et', '3d', 'networks', 'groups', 'point']","['Multinomial Logit Bandit with Low Switching Cost', 'Out-of-Distribution Generalization via Risk Extrapolation (REx)', 'Differentially Private Set Union']",27
18,33,18_uncertainty_bayesian_posterior_deep,"['uncertainty', 'bayesian', 'posterior', 'deep', 'neural', 'model', 'al', 'et al', 'et', 'data']","['Graph Structure of Neural Networks', 'Understanding the Complexity Gains of Single-Task RL with a Curriculum', 'Unsupervised Embedding Adaptation via Early-Stage Feature Reconstruction for Few-Shot Classification']",119
19,31,19_mcmc_sampling_distribution_al,"['mcmc', 'sampling', 'distribution', 'al', 'et', 'et al', 'carlo', 'monte carlo', 'monte', 'variational']","['SG-PALM a Fast Physically Interpretable Tensor Graphical Model', 'Second-order regression models exhibit progressive sharpening to the edge of stability', 'CRFL Certifiably Robust Federated Learning against Backdoor Attacks']",137
20,29,20_fairness_fair_group_sensitive,"['fairness', 'fair', 'group', 'sensitive', 'al', 'et al', 'et', 'data', 'algorithm', 'learning']","['Training Data Subset Selection for Regression with Controlled Generalization Error', 'Learning from a Learning User for Optimal Recommendations', 'Adaptive Second Order Coresets for Data-efficient Machine Learning']",46
21,28,21_molecular_molecules_molecule_reaction,"['molecular', 'molecules', 'molecule', 'reaction', 'graph', 'et', 'et al', 'al', 'chemical', '3d']","['Emergent Social Learning via Multi-agent Reinforcement Learning', 'Connecting Sphere Manifolds Hierarchically for Regularization', 'Plan Better Amid Conservatism Offline Multi-Agent Reinforcement Learning with Actor Rectification']",66
22,28,22_sgd_gradient_stochastic_rate,"['sgd', 'gradient', 'stochastic', 'rate', 'noise', 'learning', 'learning rate', 'momentum', 'step', 'al']","['A General Framework For Detecting Anomalous Inputs to DNN Classifiers', 'Biological Sequence Design with GFlowNets', 'Neuro-algorithmic Policies enable Fast Combinatorial Generalization']",130
23,28,23_optimization_function_bayesian_design,"['optimization', 'function', 'bayesian', 'design', 'bayesian optimization', 'al', 'et al', 'et', 'acquisition', 'objective']","['Linear Complexity Randomized Self-attention Mechanism', 'Laplacian Regularized Few-Shot Learning', 'Poolingformer Long Document Modeling with Pooling Attention']",230
24,26,24_ode_neural_time_series,"['ode', 'neural', 'time', 'series', 'et', 'et al', 'neural ode', 'al', 'systems', 'time series']","['Besov Function Approximation and Binary Classification on Low-Dimensional Manifolds Using Convolutional Residual Networks', 'CLOCS Contrastive Learning of Cardiac Signals', 'SeedGNN Graph Neural Networks for Supervised Seeded Graph Matching']",134
25,24,25_code_program_reasoning_language,"['code', 'program', 'reasoning', 'language', 'al', 'et', 'et al', 'model', 'prompt', 'programs']","['Prompting Decision Transformer for Few-Shot Policy Generalization', 'Stochastic smoothing of the top-K calibrated hinge loss for deep imbalanced classification', 'A Convergent and Dimension-Independent Min-Max Optimization Algorithm']",69
26,22,26_model_language_single_models,"['model', 'language', 'single', 'models', 'prompt', 'single model', 'et', 'al', 'et al', 'training']","['Imitation Learning by Estimating Expertise of Demonstrators', 'Interpretable Stein Goodness-of-fit Tests on Riemannian Manifold', 'Multilinear Latent Conditioning for Generating Unseen Attribute Combinations']",50
27,22,27_matrix_matrices_lemma_algorithm,"['matrix', 'matrices', 'lemma', 'algorithm', 'theorem', 'rank', 'probability', 'singular', 'proof', 'error']","['Bayesian Imitation Learning for End-to-End Mobile Manipulation', 'Hermite Polynomial Features for Private Data Generation', 'Interventional Contrastive Learning with Meta Semantic Regularizer']",30
28,20,28_normalizing_flows_density_distribution,"['normalizing', 'flows', 'density', 'distribution', 'al', 'et', 'et al', 'models', 'model', 'data']","['Causal Conceptions of Fairness and their Consequences', 'CAB Comprehensive Attention Benchmarking on Long Sequence Modeling', 'Utility Theory for Sequential Decision Making']",46
29,20,29_gp_kernel_gaussian_inducing,"['gp', 'kernel', 'gaussian', 'inducing', 'processes', 'gaussian processes', 'gps', 'inducing points', 'points', 'kernels']","['Modular Conformal Calibration', 'Sanity Simulations for Saliency Methods', 'Faster Stochastic Alternating Direction Method of Multipliers for Nonconvex Optimization']",56
30,19,30_detection_ood_anomaly_ood detection,"['detection', 'ood', 'anomaly', 'ood detection', 'indistribution', 'data', 'et', 'et al', 'al', 'anomaly detection']","['Agent57 Outperforming the Atari Human Benchmark', 'Stabilizing Off-Policy Deep Reinforcement Learning from Pixels', 'Popular decision tree algorithms are provably noise tolerant']",459
31,19,31_memory_learning_continual_continual learning,"['memory', 'learning', 'continual', 'continual learning', 'task', 'tasks', 'al', 'et al', 'et', 'neural']","['An EM Approach to Non-autoregressive Conditional Sequence Generation', 'RNN with Particle Flow for Probabilistic Spatio-temporal Forecasting', 'Proper Network Interpretability Helps Adversarial Robustness in Classification']",108
32,19,32_explanation_explanations_saliency_feature,"['explanation', 'explanations', 'saliency', 'feature', 'model', 'features', 'saliency dimension', 'models', 'methods', 'al']","['A Mean-field Analysis of Deep ResNet and Beyond Towards Provable Optimization Via Overparameterization From Depth', 'PCA-based Multi Task Learning a Random Matrix Approach', 'Nonparametric Involutive Markov Chain Monte Carlo']",5
33,17,33_image_reconstruction_sensing_inverse,"['image', 'reconstruction', 'sensing', 'inverse', 'generative', 'inverse problems', 'al', 'images', 'compressed sensing', 'et al']","['Gradient Temporal-Difference Learning with Regularized Corrections', 'Guarantees for Epsilon-Greedy Reinforcement Learning with Function Approximation', 'Learning from History for Byzantine Robust Optimization']",180
34,17,34_tree_trees_decision_decision trees,"['tree', 'trees', 'decision', 'decision trees', '10', 'leaf', 'depth', 'node', 'optimal', 'data']","['Planning to Explore via Self-Supervised World Models', 'Refined bounds for algorithm configuration The knife-edge of dual class approximability', 'DAGs with No Curl An Efficient DAG Structure Learning Approach']",12
35,17,35_shift_distribution_target_invariant,"['shift', 'distribution', 'target', 'invariant', 'domain', 'et', 'al', 'et al', 'shifts', 'model']","['Sequential Predictive Conformal Inference for Time Series', 'Learning to Stop While Learning to Predict', 'ProxSkip Yes! Local Gradient Steps Provably Lead to Communication Acceleration! Finally!']",110
36,15,36_pde_pdes_equation_neural,"['pde', 'pdes', 'equation', 'neural', 'al', 'figure', 'et', 'pinns', 'et al', 'equations']","['Self-Improved Retrosynthetic Planning', 'Representation Matters Assessing the Importance of Subgroup Allocations in Training Data', 'Massively Parallel and Asynchronous Tsetlin Machine Architecture Supporting Almost Constant-Time Scaling']",46
37,15,37_submodular_algorithm_elements_set,"['submodular', 'algorithm', 'elements', 'set', 'maximization', 'function', 'streaming', 'monotone', 'functions', 'submodular maximization']","['Being Bayesian, Even Just a Bit, Fixes Overconfidence in ReLU Networks', 'Generalization Guarantees for Sparse Kernel Approximation with Entropic Optimal Features', 'Streaming Algorithms for High-Dimensional Robust Statistics']",25
38,14,38_001000_basketball_proximal baseline_proximal,"['001000', 'basketball', 'proximal baseline', 'proximal', '001000 001000', 'dist', '000', 'innerproduct', 'dimpa', 'baseline']","['LowFER Low-rank Bilinear Pooling for Link Prediction', 'Analytic Marching An Analytic Meshing Solution from Deep Implicit Surface Networks', 'Private Reinforcement Learning with PAC and Regret Guarantees']",93
39,14,39_image_language_clip_visual,"['image', 'language', 'clip', 'visual', 'text', 'pretraining', 'et al', 'et', 'al', 'zeroshot']","['A3T Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing', 'TIDE Time Derivative Diffusion for Deep Learning on Graphs', 'Zoo-Tuning Adaptive Transfer from a Zoo of Models']",71
40,14,40_domain_source_adaptation_domain adaptation,"['domain', 'source', 'adaptation', 'domain adaptation', 'target', 'domains', 'et al', 'et', 'al', 'target domain']","['Offline Reinforcement Learning with Fisher Divergence Critic Regularization', 'Direct Behavior Specification via Constrained Reinforcement Learning', 'Efficiently Learning Adversarially Robust Halfspaces with Noise']",271
41,13,41_conformal_prediction_calibration_conformal prediction,"['conformal', 'prediction', 'calibration', 'conformal prediction', 'cp', 'coverage', 'quantile', 'nonconformity', 'set', 'data']","['Regret Minimization with Performative Feedback', 'Contextual Information-Directed Sampling', 'Breaking the Curse of Many Agents Provable Mean Embedding Q-Iteration for Mean-Field Reinforcement Learning']",59
42,13,42_active_active learning_learning_oracle,"['active', 'active learning', 'learning', 'oracle', 'probability', 'mal', 'sampling', 'set', 'data', 'labels']","['Do Differentiable Simulators Give Better Policy Gradients', 'LEEP A New Measure to Evaluate Transferability of Learned Representations', 'A Free Lunch From ANN Towards Efficient, Accurate Spiking Neural Networks Calibration']",202
43,13,43_bound_bounds_loss_lemma,"['bound', 'bounds', 'loss', 'lemma', 'theorem', 'function', 'risk', 'sample', 'margin', 'data']","['Normalizing Flows on Tori and Spheres', 'Unsupervised Detection of Contextualized Embedding Bias with Application to Ideology', 'Global Optimization Networks']",141
44,10,44_metric learning_loss_et al_embedding,"['metric learning', 'loss', 'et al', 'embedding', 'et', 'al', 'metric', 'learning', 'similarity', 'face']","['Learning Mixtures of Linear Dynamical Systems', 'Dash Semi-Supervised Learning with Dynamic Thresholding', 'Bit Allocation using Optimization']",16
45,10,45_diffusion_score_process_diffusion models,"['diffusion', 'score', 'process', 'diffusion models', 'models', 'score matching', 'model', 'sde', 'noise', 'data']","['When are Non-Parametric Methods Robust', 'Latent Space Energy-Based Model of Symbol-Vector Coupling for Text Generation and Classification', 'Supervised Learning No Loss No Cry']",11
