corpusid,arxiv_id,title,year,venue,citationcount,referencecount,influentialcitationcount,equations,figures,font,pages,paragraphs,content_references,tables,words,sections,subsections,subsubsections
253510629,2211.06530,Multi-Epoch Matrix Factorization Mechanisms for Private Machine Learning,2022,International Conference on Machine Learning,19,50,1,30,45,NimbusRomNo9L,40,2,183,14,20256,13,13,0
249151849,2205.13997,Prototype Based Classification from Hierarchy to Fairness,2022,International Conference on Machine Learning,2,31,0,10,31,NimbusRomNo9L,17,0,86,16,9985,12,9,0
252668450,2209.15031,Automatic Data Augmentation via Invariance-Constrained Learning,2022,International Conference on Machine Learning,6,89,0,0,0,NimbusRomNo9L,24,0,0,0,14345,2,0,0
246431219,2201.12431,Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval,2022,International Conference on Machine Learning,40,47,4,20,1,NimbusRomNo9L,18,28,80,0,9056,13,11,0
250048431,2206.12081,Computationally Efficient PAC RL in POMDPs with Latent Determinism and Conditional Embeddings,2022,International Conference on Machine Learning,5,66,0,98,0,NimbusRomNo9L,29,1,0,0,13564,8,8,0
249538159,2206.04496,Mitigating Modality Collapse in Multimodal VAEs via Impartial Optimization,2022,International Conference on Machine Learning,13,40,2,0,0,NimbusRomNo9L,27,0,0,0,14604,0,0,0
247939763,2204.01668,Scalable Spike-and-Slab,2022,International Conference on Machine Learning,5,59,2,58,54,NimbusRomNo9L,20,13,108,4,13015,10,10,1
253370616,2211.02222,The Benefits of Model-Based Generalization in Reinforcement Learning,2022,International Conference on Machine Learning,3,62,0,38,45,NimbusRomNo9L,23,0,93,2,14549,16,0,1
258460951,2202.06828,On the Convergence of SARSA with Linear Function Approximation,2022,International Conference on Machine Learning,2,42,0,390,9,NimbusRomNo9L,34,3,214,2,15444,12,12,0
250492223,2207.06272,Hindsight Learning for MDPs with Exogenous Inputs,2022,International Conference on Machine Learning,11,114,2,77,31,CMR10,52,4,268,20,26057,15,22,17
246823128,2202.06539,Deduplicating Training Data Mitigates Privacy Risks in Language Models,2022,International Conference on Machine Learning,127,41,10,0,0,NimbusRomNo9L,11,0,0,0,6955,0,0,0
248810748,2205.07649,Generalizing to Evolving Domains with Latent Structure-Aware Sequential Autoencoder,2022,International Conference on Machine Learning,7,49,1,82,18,NimbusRomNo9L,21,0,53,42,13290,11,12,0
249538722,2206.04571,Revisiting End-to-End Speech-to-Text Translation From Scratch,2022,International Conference on Machine Learning,26,68,3,10,15,NimbusRomNo9L,13,14,102,12,8926,9,4,0
250264502,2207.01160,Partial and Asymmetric Contrastive Learning for Out-of-Distribution Detection in Long-Tailed Recognition,2022,International Conference on Machine Learning,26,49,4,10,14,NimbusRomNo9L,13,26,103,26,10013,11,9,0
246634082,2202.02340,Selective Network Linearization for Efficient Private Inference,2022,International Conference on Machine Learning,24,30,7,26,22,NimbusRomNo9L,15,7,55,20,8795,9,10,0
252918507,2210.09020,Defects of Convolutional Decoder Networks in Frequency Representation,2022,International Conference on Machine Learning,5,33,0,282,43,NimbusRomNo9L,34,0,37,4,17362,9,30,0
246294942,2201.11206,Reward-Free RL is No Harder Than Reward-Aware RL in Linear Markov Decision Processes,2022,International Conference on Machine Learning,37,51,5,0,0,CMR10,36,0,0,0,15369,0,0,0
249626403,2206.06293,Learning Domain Adaptive Object Detection with Probabilistic Teacher,2022,International Conference on Machine Learning,32,42,5,71,51,NimbusRomNo9L,16,0,75,16,9636,11,19,4
250340590,2207.06544,Volatility Based Kernels and Moving Average Means for Accurate Forecasting with Gaussian Processes,2022,International Conference on Machine Learning,2,61,0,48,48,NimbusRomNo9L,19,13,136,4,10976,10,17,0
250243943,2207.00486,Scalable MCMC Sampling for Nonsymmetric Determinantal Point Processes,2022,International Conference on Machine Learning,1,32,0,38,13,NimbusRomNo9L,17,3,97,6,11115,10,14,0
254636402,2212.07295,Maximal Initial Learning Rates in Deep ReLU Networks,2022,International Conference on Machine Learning,6,44,1,161,39,NimbusRomNo9L,31,0,99,0,15134,15,11,0
250340586,2207.06936,Multi-Level Branched Regularization for Federated Learning,2022,International Conference on Machine Learning,16,37,3,26,74,NimbusRomNo9L,16,13,74,2,9263,9,22,0
249712569,2206.08009,Balancing Discriminability and Transferability for Source-Free Domain Adaptation,2022,International Conference on Machine Learning,57,97,4,50,18,NimbusRomNo9L,19,3,206,26,12607,8,8,0
246294866,2201.11717,Burst-Dependent Plasticity and Dendritic Amplification Support Target-Based Learning and Hierarchical Imitation Learning,2022,International Conference on Machine Learning,6,28,0,1,0,CMR10,12,0,0,0,6929,1,0,0
248405793,2204.13060,Bisimulation Makes Analogies in Goal-Conditioned Reinforcement Learning,2022,International Conference on Machine Learning,13,59,0,42,49,NimbusRomNo9L,20,1,104,8,11830,15,13,2
250360820,2207.10295,Addressing Optimism Bias in Sequence Modeling for Reinforcement Learning,2022,International Conference on Machine Learning,17,38,3,44,9,NimbusRomNo9L,14,0,48,10,9097,11,14,6
249712069,2206.08213,A Closer Look at Smoothness in Domain Adversarial Training,2022,International Conference on Machine Learning,52,66,9,64,29,NimbusRomNo9L,22,0,215,34,13686,21,12,1
249431775,2206.03230,Shedding a PAC-Bayesian Light on Adaptive Sliced-Wasserstein Distances,2022,International Conference on Machine Learning,6,74,1,30,16,NimbusRomNo9L,23,0,124,6,15053,6,6,0
249889776,2206.10442,Robust Task Representations for Offline Meta-Reinforcement Learning via Contrastive Learning,2022,International Conference on Machine Learning,14,51,5,36,14,NimbusRomNo9L,13,0,51,10,8391,10,13,0
253510474,2211.06489,Equivariance with Learned Canonicalization Functions,2022,International Conference on Machine Learning,14,79,2,74,32,NimbusRomNo9L,21,23,128,14,12624,16,14,0
252568071,2209.14279,Causal Proxy Models for Concept-Based Model Explanations,2022,International Conference on Machine Learning,17,64,0,0,0,NimbusRomNo9L,23,1,0,0,13754,6,0,0
250113579,2206.14702,Interventional Contrastive Learning with Meta Semantic Regularizer,2022,International Conference on Machine Learning,11,39,0,32,15,NimbusRomNo9L,13,0,66,8,8745,12,9,0
250340984,2207.05931,Towards understanding how momentum improves generalization in deep learning,2022,International Conference on Machine Learning,14,51,1,0,0,NimbusRomNo9L,76,0,0,0,32162,1,0,0
246485553,2202.01679,Certifying Out-of-Domain Generalization for Blackbox Functions,2022,International Conference on Machine Learning,10,52,1,202,44,NimbusRomNo9L,22,6,64,2,12473,13,9,5
250072392,2206.13499,Prompting Decision Transformer for Few-Shot Policy Generalization,2022,International Conference on Machine Learning,63,43,10,6,24,NimbusRomNo9L,15,8,81,14,8748,10,15,0
248811584,2205.07428,On the Convergence of the Shapley Value in Parametric Bayesian Learning Games,2022,International Conference on Machine Learning,10,26,0,22,3,NimbusRomNo9L,17,0,8,0,11423,6,0,0
237397798,2202.03060,The Importance of Non-Markovianity in Maximum State Entropy Exploration,2022,International Conference on Machine Learning,15,47,1,65,0,NimbusRomNo9L,17,7,98,2,12071,10,5,0
246634690,2202.02886,Leveraging Approximate Symbolic Models for Reinforcement Learning via Skill Diversity,2022,International Conference on Machine Learning,12,51,2,0,0,NimbusRomNo9L,19,0,0,0,12353,0,0,0
249017554,2205.12258,History Compression via Language Models in Reinforcement Learning,2022,International Conference on Machine Learning,24,114,2,22,71,NimbusRomNo9L,32,0,210,0,16418,12,8,0
249605747,2206.05255,Interactively Learning Preference Constraints in Linear Bandits,2022,International Conference on Machine Learning,6,30,1,10,43,NimbusRomNo9L,23,17,55,0,12881,6,7,0
249889990,2206.09628,Diversified Adversarial Attacks based on Conjugate Gradient Method,2022,International Conference on Machine Learning,6,54,2,0,0,NimbusRomNo9L,23,0,0,0,12858,0,0,0
247318663,2203.04432,Variational Inference with Locally Enhanced Bounds for Hierarchical Models,2022,International Conference on Machine Learning,4,57,0,56,29,NimbusRomNo9L,14,14,76,0,8239,11,10,0
246634732,2202.02831,Anticorrelated Noise Injection for Improved Generalization,2022,International Conference on Machine Learning,35,45,4,44,26,NimbusRomNo9L,24,15,88,0,15066,5,9,0
247318568,2203.04413,Score matching enables causal discovery of nonlinear additive noise models,2022,International Conference on Machine Learning,36,48,8,33,0,NimbusRomNo9L,13,5,54,28,7399,8,7,0
246430965,2201.13415,Towards Scaling Difference Target Propagation by Learning Backprop Targets,2022,International Conference on Machine Learning,16,30,4,80,15,NimbusRomNo9L,18,18,53,18,8906,10,10,0
246823433,2202.05501,Continuous-Time Analysis of Accelerated Gradient Methods via Conservation Laws in Dilated Coordinate Systems,2022,International Conference on Machine Learning,6,109,2,295,0,NimbusRomNo9L,29,8,147,0,15968,13,22,7
257219632,2207.00391,A Theoretical Analysis of the Learning Dynamics under Class Imbalance,2022,International Conference on Machine Learning,4,56,0,195,36,NimbusRomNo9L,39,20,62,4,22250,16,21,0
249847835,2206.08672,A Deep Learning Approach for the Segmentation of Electroencephalography Data in Eye Tracking Applications,2022,International Conference on Machine Learning,4,50,0,2,56,NimbusRomNo9L,21,36,93,26,11545,17,17,13
246485499,2202.01671,Log-Euclidean Signatures for Intrinsic Distances Between Unaligned Datasets,2022,International Conference on Machine Learning,4,69,0,28,49,CMR10,23,2,182,10,12382,12,11,2
247292805,2203.03580,The Unsurprising Effectiveness of Pre-Trained Vision Models for Control,2022,International Conference on Machine Learning,120,73,13,0,0,NimbusRomNo9L,13,0,0,0,8028,0,0,0
249848242,2206.08675,Understanding Robust Overfitting of Adversarial Training and Beyond,2022,International Conference on Machine Learning,29,42,4,0,0,NimbusRomNo9L,16,0,0,0,9651,1,0,0
250341009,2212.03798,Stochastic Rising Bandits,2022,International Conference on Machine Learning,6,39,1,276,24,NimbusRomNo9L,36,4,135,4,15748,13,16,0
250340734,2207.05945,Online Active Regression,2022,International Conference on Machine Learning,4,20,1,0,0,CMMI10,33,0,0,0,17443,1,0,0
249890236,2206.09348,Nested bandits,2022,International Conference on Machine Learning,0,30,0,0,0,SFRM0700,35,1,0,0,16623,10,0,0
256416675,2207.10541,Unveiling the Latent Space Geometry of Push-Forward Generative Models,2022,International Conference on Machine Learning,1,56,0,20,32,NimbusRomNo9L,22,11,140,4,12241,5,10,0
249926693,2206.11172,Neural Inverse Transform Sampler,2022,International Conference on Machine Learning,4,39,0,104,10,NimbusRomNo9L,13,0,50,6,8009,8,11,0
249847919,2206.08542,Strategic Representation,2022,International Conference on Machine Learning,5,31,0,0,0,SFTI1095,32,0,0,0,15776,0,0,0
252595746,2209.14593,Denoising MCMC for Accelerating Diffusion-Based Generative Models,2022,International Conference on Machine Learning,4,38,0,32,59,NimbusRomNo9L,17,0,128,4,6712,8,11,0
249890186,2206.10369,The State of Sparse Training in Deep Reinforcement Learning,2022,International Conference on Machine Learning,17,77,4,4,134,NimbusRomNo9L,27,20,160,18,13436,16,6,0
249395292,2206.02761,Dual Decomposition of Convex Optimization Layers for Consistent Attention in Medical Images,2022,International Conference on Machine Learning,3,81,1,19,69,NimbusRomNo9L,12,0,89,6,8361,8,8,2
250340781,2207.09584,Sample Efficient Learning of Predictors that Complement Humans,2022,International Conference on Machine Learning,13,46,2,0,0,SFRM1095,47,0,0,0,17718,0,0,0
249953531,2206.11423,Input-agnostic Certified Group Fairness via Gaussian Parameter Smoothing,2022,International Conference on Machine Learning,9,102,1,0,0,NimbusRomNo9L,23,0,0,0,15028,7,0,0
63456625,2202.01277,Global Optimization Networks,2022,International Conference on Machine Learning,5,69,0,68,38,CMR10,46,0,94,36,16985,16,31,0
246634572,2202.02396,A Temporal-Difference Approach to Policy Gradient Estimation,2022,International Conference on Machine Learning,0,38,0,0,0,NimbusRomNo9L,24,0,0,0,13514,3,2,0
246430444,2201.12884,A Theoretical Comparison of Graph Neural Network Extensions,2022,International Conference on Machine Learning,30,37,3,7,8,CMR10,33,0,32,0,18084,14,19,0
246431156,2201.12489,A Context-Integrated Transformer-Based Neural Network for Auction Design,2022,International Conference on Machine Learning,12,60,2,76,0,CMR10,21,3,10,0,10783,5,3,0
249847820,2206.08736,Generalised Policy Improvement with Geometric Policy Composition,2022,International Conference on Machine Learning,4,94,0,148,61,NimbusRomNo9L,36,0,212,2,21461,17,25,0
254366283,2212.03463,Sequential Predictive Conformal Inference for Time Series,2022,International Conference on Machine Learning,9,38,1,92,30,NimbusRomNo9L,21,0,128,10,12601,10,13,2
249953660,2206.11775,Regression with Label Permutation in Generalized Linear Model,2022,International Conference on Machine Learning,4,58,0,404,18,SFRM1000,47,1,66,6,18914,14,24,10
246823521,2202.05963,Private Adaptive Optimization with Side Information,2022,International Conference on Machine Learning,25,36,2,132,18,NimbusRomNo9L,20,8,72,20,11634,11,10,5
252873601,2210.06518,Semi-Supervised Offline Reinforcement Learning with Action-Free Trajectories,2022,International Conference on Machine Learning,9,59,1,0,0,NimbusRomNo9L,24,1,3,0,12884,1,1,1
250340702,2211.14721,Generalizing Gaussian Smoothing for Random Search,2022,International Conference on Machine Learning,7,36,1,80,47,NimbusRomNo9L,25,4,78,28,11209,10,21,0
248810859,2205.07536,Reachability Constrained Reinforcement Learning,2022,International Conference on Machine Learning,24,48,3,128,37,NimbusRomNo9L,20,0,95,6,13039,12,16,4
258686157,2208.06506,Optimal LP Rounding and Linear-Time Approximation Algorithms for Clustering Edge-Colored Hypergraphs,2022,International Conference on Machine Learning,1,32,0,0,0,NimbusRomNo9L,28,0,0,0,21672,0,0,0
253553447,2211.08997,Dynamical Linear Bandits,2022,International Conference on Machine Learning,1,52,0,0,0,NimbusRomNo9L,25,0,0,0,15900,1,0,0
250072448,2206.12839,Repository-Level Prompt Generation for Large Language Models of Code,2022,International Conference on Machine Learning,40,74,4,0,0,NimbusRomNo9L,22,0,2,0,14126,1,0,0
250048656,2206.12110,Learning Augmented Binary Search Trees,2022,International Conference on Machine Learning,11,24,1,0,0,CMR10,15,0,0,0,7256,0,0,0
247025983,2202.10660,Batched Dueling Bandits,2022,International Conference on Machine Learning,8,44,0,0,0,CMR10,28,0,0,0,13202,0,0,0
249926616,2206.10614,On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games,2022,International Conference on Machine Learning,1,28,0,98,0,NimbusRomNo9L,13,2,40,0,9590,12,7,0
246473368,2202.00911,Active Multi-Task Representation Learning,2022,International Conference on Machine Learning,6,19,1,0,0,NimbusRomNo9L,28,0,0,0,14106,0,0,0
252110847,2209.03007,Learning Distributions over Quantum Measurement Outcomes,2022,International Conference on Machine Learning,3,40,0,162,0,CMR10,25,0,56,0,10755,7,12,0
249097947,2205.13170,Distributed Contextual Linear Bandits with Minimax Optimal Communication Cost,2022,International Conference on Machine Learning,7,40,2,164,5,CMR10,32,13,73,2,15254,11,13,0
249017894,2205.11775,Constrained Monotonic Neural Networks,2022,International Conference on Machine Learning,3,56,0,0,2,NimbusRomNo9L,16,0,0,0,8834,0,0,0
251719353,2208.10264,Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,2022,International Conference on Machine Learning,113,64,8,0,0,CMR10,43,0,0,0,20263,0,0,0
246411524,2201.12018,Transfer Learning In Differential Privacy's Hybrid-Model,2022,International Conference on Machine Learning,5,56,0,178,18,NimbusRomNo9L,17,16,149,0,13129,13,3,0
246861904,2202.08786,Refined Convergence Rates for Maximum Likelihood Estimation under Finite Mixture Models,2022,International Conference on Machine Learning,7,42,0,185,12,CMR10,41,1,135,0,17222,8,13,1
250340993,2207.07972,Certified Neural Network Watermarks with Randomized Smoothing,2022,International Conference on Machine Learning,17,34,4,6,29,NimbusRomNo9L,16,12,92,14,8645,7,13,0
253734549,2211.11033,On the Complexity of Bayesian Generalization,2022,International Conference on Machine Learning,1,86,0,18,39,NimbusRomNo9L,21,19,96,2,10984,9,18,0
246430669,2201.13288,A Regret Minimization Approach to Multi-Agent Contro,2022,International Conference on Machine Learning,4,45,0,0,0,NimbusRomNo9L,13,0,0,0,9123,0,0,0
246411353,2201.12176,Generative Coarse-Graining of Molecular Conformations,2022,International Conference on Machine Learning,23,73,4,84,31,NimbusRomNo9L,24,0,109,10,13953,13,26,2
246411423,2201.12090,Approximate Bayesian Computation with Domain Expert in the Loop,2022,International Conference on Machine Learning,4,52,0,30,29,NimbusRomNo9L,13,17,68,6,8263,8,8,0
247839510,2203.17003,Equivariant Diffusion for Molecule Generation in 3D,2022,International Conference on Machine Learning,281,53,46,0,3,NimbusRomNo9L,21,0,12,2,11812,5,11,4
254017616,2211.13337,Multi-Environment Pretraining Enables Transfer to Action Limited Datasets,2022,International Conference on Machine Learning,5,55,0,6,16,NimbusRomNo9L,16,0,0,0,7029,0,0,0
256275035,2205.13832,Counterfactual Analysis in Dynamic Latent State Models,2022,International Conference on Machine Learning,1,40,0,130,31,NimbusRomNo9L,32,27,90,4,20326,12,15,3
252683151,2210.00038,Differentially Private Optimization on Large Model at Small Cost,2022,International Conference on Machine Learning,20,61,1,12,33,NimbusRomNo9L,28,3,61,10,13770,5,10,0
255998780,2210.12874,Global Selection of Contrastive Batches via Optimization on Sample Permutations,2022,International Conference on Machine Learning,0,54,0,42,21,NimbusRomNo9L,21,0,74,26,11044,21,19,3
250311162,2207.02739,Robust Counterfactual Explanations for Tree-Based Ensembles,2022,International Conference on Machine Learning,25,30,2,12,13,SFRM1000,18,1,44,6,9033,5,7,0
246706195,2202.04675,Bayesian Nonparametrics for Offline Skill Discovery,2022,International Conference on Machine Learning,6,70,0,0,0,NimbusRomNo9L,16,0,16,0,10572,1,0,0
249625892,2206.05553,Convergence and Recovery Guarantees of the K-Subspaces Method for Subspace Clustering,2022,International Conference on Machine Learning,6,66,1,446,5,NimbusRomNo9L,35,0,133,10,20572,12,22,0
246473194,2202.00787,Achieving Fairness at No Utility Cost via Data Reweighing,2022,International Conference on Machine Learning,26,59,3,36,12,NimbusRomNo9L,14,0,73,2,8784,11,4,0
248571774,2205.03921,Online Algorithms with Multiple Predictions,2022,International Conference on Machine Learning,15,60,3,0,0,CMTI10,22,0,0,0,11734,8,0,0
253080353,2210.11633,Graphically Structured Diffusion Models,2022,International Conference on Machine Learning,2,60,0,22,79,NimbusRomNo9L,23,7,118,6,13720,20,12,1
250340710,2207.08942,Implicit Regularization with Polynomial Growth in Deep Tensor Factorization,2022,International Conference on Machine Learning,1,22,0,84,27,NimbusRomNo9L,18,6,79,2,9874,9,7,5
249889419,2206.10140,Comprehensive Analysis of Negative Sampling in Knowledge Graph Representation Learning,2022,International Conference on Machine Learning,10,24,1,26,14,NimbusRomNo9L,15,15,69,4,9147,7,13,6
246680025,2202.04262,Parsimonious Learning-Augmented Caching,2022,International Conference on Machine Learning,16,36,1,0,0,CMMI10,15,3,26,0,9995,2,0,0
246863584,2202.07643,Lie Point Symmetry Data Augmentation for Neural PDE Solvers,2022,International Conference on Machine Learning,29,63,5,46,46,NimbusRomNo9L,15,15,150,12,11152,12,9,0
249395196,2206.01944,Robust Meta-learning with Sampling Noise and Label Noise via Eigen-Reptile,2022,International Conference on Machine Learning,4,62,1,114,24,NimbusRomNo9L,17,0,71,8,10928,15,7,0
246294533,2201.11729,Implicit Regularization in Hierarchical Tensor Factorization and Deep Convolutional Neural Networks,2022,International Conference on Machine Learning,22,104,0,0,0,NimbusRomNo9L,42,0,5,0,28375,3,0,0
254926706,2212.09567,Answering Complex Logical Queries on Knowledge Graphs via Query Computation Tree Optimization,2022,International Conference on Machine Learning,8,36,3,0,0,NimbusRomNo9L,20,0,0,0,12638,2,0,0
235826292,2204.06517,Learning Self-Modulating Attention in Continuous Time Space with Applications to Sequential Recommendation,2022,International Conference on Machine Learning,10,74,1,38,3,NimbusRomNo9L,13,2,70,6,8934,7,10,0
250144354,2206.15437,Understanding Instance-Level Impact of Fairness Constraints,2022,International Conference on Machine Learning,20,73,1,0,0,NimbusRomNo9L,17,0,0,0,10745,1,0,0
246411585,2201.11969,Approximately Equivariant Networks for Imperfectly Symmetric Dynamics,2022,International Conference on Machine Learning,43,65,2,0,0,NimbusRomNo9L,14,0,0,0,8194,7,0,0
250340637,2207.04387,Bregman Proximal Langevin Monte Carlo via Bregman-Moreau Envelopes,2022,International Conference on Machine Learning,4,86,0,173,104,CMR10,33,1,212,0,15160,11,17,3
248405792,2204.12584,Fast Aquatic Swimmer Optimization with Differentiable Projective Dynamics and Neural Network Hydrodynamic Models,2022,International Conference on Machine Learning,7,55,1,44,36,NimbusRomNo9L,15,2,41,2,8245,10,13,0
249712079,2206.07977,Personalized Federated Learning via Variational Bayesian Inference,2022,International Conference on Machine Learning,47,57,7,108,26,NimbusRomNo9L,18,0,126,6,10127,9,10,0
247779106,2203.15516,Rich Feature Construction for the Optimization-Generalization Dilemma,2022,International Conference on Machine Learning,26,36,2,0,0,NimbusRomNo9L,15,0,0,0,9544,0,0,0
254564031,2212.05949,Corruption-Robust Algorithms with Uncertainty Weighting for Nonlinear Contextual Bandits and Markov Decision Processes,2022,International Conference on Machine Learning,12,52,0,64,0,NimbusRomNo9L,32,0,200,0,18389,14,17,0
259075565,2203.01471,Structure Learning of Latent Factors via Clique Search on Correlation Thresholded Graphs,2022,International Conference on Machine Learning,0,52,0,118,15,NimbusRomNo9L,19,0,77,2,11243,11,20,0
249712134,2206.08362,Unified Fourier-based Kernel and Nonlinearity Design for Equivariant Networks on Homogeneous Spaces,2022,International Conference on Machine Learning,12,54,0,56,6,NimbusRomNo9L,19,4,122,2,11973,9,22,0
249712316,2206.07875,Optimization-Derived Learning with Essential Convergence Analysis of Training and Hyper-training,2022,International Conference on Machine Learning,5,75,0,334,43,NimbusRomNo9L,32,0,87,14,18277,11,18,0
252668402,2209.15266,Data Poisoning Attacks Against Multimodal Encoders,2022,International Conference on Machine Learning,13,42,2,4,34,NimbusRomNo9L,12,0,41,32,9750,10,16,7
247084376,2202.12183,Large-scale Stochastic Optimization of NDCG Surrogates for Deep Learning with Provable Convergence,2022,International Conference on Machine Learning,13,60,0,507,52,NimbusRomNo9L,44,0,145,16,24156,16,13,14
258959476,2206.05891,Anchor Sampling for Federated Learning with Partial Client Participation,2022,International Conference on Machine Learning,0,91,0,184,86,NimbusRomNo9L,38,32,69,8,21921,13,11,2
249062742,2205.12693,Contrastive Learning with Boosted Memorization,2022,International Conference on Machine Learning,13,49,2,24,19,NimbusRomNo9L,11,1,148,10,8185,6,9,0
246485453,2202.01756,On the Convergence of Inexact Predictor-Corrector Methods for Linear Programming,2022,International Conference on Machine Learning,2,40,0,0,0,LMRoman10,39,0,0,0,16634,1,0,0
248505991,2205.01447,Model-Free Opponent Shaping,2022,International Conference on Machine Learning,21,36,4,6,27,NimbusRomNo9L,14,0,84,40,7125,11,9,0
249712075,2206.08126,Channel Importance Matters in Few-Shot Image Classification,2022,International Conference on Machine Learning,23,53,3,51,33,NimbusRomNo9L,18,0,52,12,12872,15,6,0
252668631,2209.15097,Likelihood adjusted semidefinite programs for clustering heterogeneous data,2022,International Conference on Machine Learning,1,45,0,122,28,NimbusRomNo9L,21,0,89,0,13363,7,8,3
248178214,2204.06653,Sketching Algorithms and Lower Bounds for Ridge Regression,2022,International Conference on Machine Learning,4,22,1,0,0,SourceSerifPro,21,0,0,0,12295,0,0,0
246863502,2202.07530,Optimal Algorithms for Stochastic Multi-Level Compositional Optimization,2022,International Conference on Machine Learning,10,43,1,142,40,NimbusRomNo9L,22,0,142,4,12766,12,9,0
250340814,2210.13664,Mitigating Gender Bias in Face Recognition using the von Mises-Fisher Mixture Model,2022,International Conference on Machine Learning,3,56,0,0,0,NimbusRomNo9L,26,0,0,0,12669,1,0,0
252815771,2210.05643,A Kernel-Based View of Language Model Fine-Tuning,2022,International Conference on Machine Learning,22,90,4,14,3,NimbusRomNo9L,32,6,68,0,19279,8,5,0
254096299,2211.17091,Refining Generative Process with Discriminator Guidance in Score-based Diffusion Models,2022,International Conference on Machine Learning,37,77,5,128,170,NimbusRomNo9L,48,0,132,20,15798,12,16,2
249953858,2206.11872,Provable Acceleration of Heavy Ball beyond Quadratics for a Class of Polyak-Łojasiewicz Functions when the Non-Convexity is Averaged-Out,2022,International Conference on Machine Learning,15,50,0,391,11,NimbusRomNo9L,28,0,137,2,16990,17,15,0
249395531,2206.02618,Generalized Federated Learning via Sharpness Aware Minimization,2022,International Conference on Machine Learning,54,55,14,272,33,NimbusRomNo9L,30,0,70,10,18010,12,18,0
