Topic,Count,Name,Representation,Representative_Docs
26,34,26_submodular_algorithm_maximization_elements,"['submodular', 'algorithm', 'maximization', 'elements', 'greedy', 'set', 'function', 'approximation', 'submodularity', 'element']","['A Second look at Exponential and Cosine Step Sizes Simplicity, Adaptivity, and Performance', 'SGD and Hogwild Convergence Without the Bounded Gradients Assumption', 'A Theoretical Analysis of the Learning Dynamics under Class Imbalance', 'Towards Noise-adaptive, Problem-adaptive (Accelerated) Stochastic Gradient Descent', 'Characterization of Convex Objective Functions and Optimal Expected Convergence Rates for SGD']"
27,33,27_sgd_stochastic_gradient_convergence,"['sgd', 'stochastic', 'gradient', 'convergence', 'rate', 'convex', 'step', 'stepsize', 'theorem', 'descent']","['Model-Aware Contrastive Learning Towards Escaping the Dilemmas', 'Self-Damaging Contrastive Learning', 'Global Selection of Contrastive Batches via Optimization on Sample Permutations', 'Do More Negative Samples Necessarily Hurt in Contrastive Learning', 'Perfectly Balanced Improving Transfer and Robustness of Supervised Contrastive Learning']"
28,31,28_contrastive_learning_loss_augmentations,"['contrastive', 'learning', 'loss', 'augmentations', 'rand', '128', 'representation', 'negative', 'supervised', 'augmentation']","['A Free-Energy Principle for Representation Learning', 'PAC Generalization via Invariant Representations', 'Connectivity-Optimized Representation Learning via Persistent Homology', 'Benchmarks, Algorithms, and Metrics for Hierarchical Disentanglement', 'Disentangling by Factorising']"
29,31,29_disentanglement_ae_representations_disentangled,"['disentanglement', 'ae', 'representations', 'disentangled', 'latent', 'representation', 'data', 'factors', 'learning', 'topological']","['Few-shot Neural Architecture Search', 'Adaptive Stochastic Natural Gradient Method for One-Shot Neural Architecture Search', 'Analyzing and Mitigating Interference in Neural Architecture Search', 'Neural Architecture Search without Training', 'NAS-Bench-101 Towards Reproducible Neural Architecture Search']"
30,31,30_search_architecture_nas_architectures,"['search', 'architecture', 'nas', 'architectures', 'neural', 'space', 'snn', '2019', 'spiking', 'training']","['Individual Calibration with Randomized Forecasting', 'Conformal Prediction Sets with Limited False Positives', 'T-SCI A Two-Stage Conformal Inference Algorithm with Guaranteed Coverage for Cox-MLP', 'Exact Optimization of Conformal Predictors via Incremental and Decremental Learning', 'Modular Conformal Calibration']"
31,31,31_conformal_prediction_calibration_strategic,"['conformal', 'prediction', 'calibration', 'strategic', 'performative', 'coverage', 'expert', 'classication', 'cp', 'distribution']","['Good Subnetworks Provably Exist Pruning via Greedy Forward Selection', 'On the Predictability of Pruning Across Scales', 'Training Your Sparse Neural Network Better with Any Mask', 'A Probabilistic Approach to Neural Network Pruning', 'Why Random Pruning Is All We Need to Start Sparse']"
32,31,32_pruning_sparsity_network_sparse,"['pruning', 'sparsity', 'network', 'sparse', 'networks', 'weights', 'pruned', 'training', 'lottery', 'layer']","['(Individual) Fairness for k-Clustering', 'Coresets for Ordered Weighted Clustering', 'Simple and sharp analysis of k-means', 'Scalable Fair Clustering', 'Bregman Power k-Means for Clustering Exponential Family Data']"
33,30,33_clustering_cluster_algorithm_points,"['clustering', 'cluster', 'algorithm', 'points', 'kmeans', 'centers', 'clusters', 'cost', 'center', 'set']","['EquiBind Geometric Deep Learning for Drug Binding Structure Prediction', 'Hierarchical Generation of Molecular Graphs using Structural Motifs', 'Pocket2Mol Efficient Molecular Sampling Based on 3D Protein Pockets', '3DLinker An E(3) Equivariant Variational Autoencoder for Molecular Linker Design', 'Composing Molecules with Multiple Property Constraints']"
34,30,34_molecular_molecules_molecule_reaction,"['molecular', 'molecules', 'molecule', 'reaction', 'graph', 'chemical', '3d', 'atom', 'generation', 'atoms']","['A Distribution-dependent Analysis of Meta Learning', 'Meta-learning for mixed linear regression', 'A Representation Learning Perspective on the Importance of Train-Validation Splitting in Meta-Learning', 'A Sample Complexity Separation between Non-Convex and Convex Meta-Learning', 'Provable Guarantees for Gradient-Based Meta-Learning']"
35,29,35_metalearning_task_tasks_learning,"['metalearning', 'task', 'tasks', 'learning', 'maml', 'lemma', 'multitask', 'nnx', 'meta', 'representation']","['On Learning Language-Invariant Representations for Universal Machine Translation', 'Non-Monotonic Sequential Text Generation', 'Analyzing Uncertainty in Neural Machine Translation', 'Text Generation with Diffusion Language Models A Pre-training Approach with Continuous Paragraph Denoise', 'Arithmetic Sampling Parallel Diverse Decoding for Large Language Models']"
36,28,36_translation_language_generation_bleu,"['translation', 'language', 'generation', 'bleu', 'model', 'sequence', 'tokens', 'beam', 'models', 'text']","['Automatic Shortcut Removal for Self-Supervised Representation Learning', 'Multi-Grained Vision Language Pre-Training Aligning Texts with Visual Concepts', 'BLIP Bootstrapping Language-Image Pre-training for Unified Vision-Language Understanding and Generation', 'VLMixer Unpaired Vision-Language Pre-training via Cross-Modal CutMix', 'Data Determines Distributional Robustness in Contrastive Language Image Pre-training (CLIP)']"
37,27,37_image_segmentation_object_visual,"['image', 'segmentation', 'object', 'visual', 'clip', 'language', 'images', 'text', 'zeroshot', 'models']","['Differentiable Product Quantization for End-to-End Embedding Compression', 'SDQ Stochastic Differentiable Quantization with Mixed Precision', 'I-BERT Integer-only BERT Quantization', 'Improving Neural Network Quantization without Retraining using Outlier Channel Splitting', 'Overcoming Oscillations in Quantization-Aware Training']"
38,27,38_quantization_compression_quantized_bits,"['quantization', 'compression', 'quantized', 'bits', 'precision', 'bit', 'neural', 'latent', 'coding', 'training']","['Exploring Interpretable LSTM Neural Networks over Multi-Variable Data', 'Deep Latent State Space Models for Time-Series Generation', 'Transformation of ReLU-based recurrent neural networks from discrete-time to continuous-time', 'Forecasting Sequential Data using Consistent Koopman Autoencoders', 'STRODE Stochastic Boundary Ordinary Differential Equation']"
39,26,39_time_series_neural_ode,"['time', 'series', 'neural', 'ode', 'forecasting', 'latent', 'model', 'models', 'data', 'system']","['Versatile Verification of Tree Ensembles', 'Learning to branch Generalization guarantees and limits of data-independent discretization', 'Analyzing the tree-layer structure of Deep Forests', 'Decision Trees for Decision-Making under the Predict-then-Optimize Framework', 'Generalized and Scalable Optimal Sparse Decision Trees']"
40,24,40_tree_trees_decision_leaf,"['tree', 'trees', 'decision', 'leaf', 'node', 'depth', '10', 'forests', 'optimal', 'cart']","['Variational Auto-Regressive Gaussian Processes for Continual Learning', 'Overcoming Catastrophic Forgetting by Bayesian Generative Regularization', 'Continual Learning with Guarantees via Weight Interval Constraints', 'Improving Task-free Continual Learning by Distributionally Robust Memory Evolution', 'Kernel Continual Learning']"
41,23,41_memory_continual_forgetting_task,"['memory', 'continual', 'forgetting', 'task', 'tasks', 'learning', 'catastrophic', 'plasticity', 'network', 'neural']","['Which Tricks are Important for Learning to Rank', 'Online Learning to Rank with Features', 'Concentric mixtures of Mallows models for top-k rankings sampling and identifiability', 'Decision-Focused Learning Through the Lens of Learning to Rank', 'GNNRank Learning Global Rankings from Pairwise Comparisons via Directed Graph Neural Networks']"
42,22,42_001000_basketball_ranking_proximal,"['001000', 'basketball', 'ranking', 'proximal', 'dist', 'innerproduct', 'dimpa', '000', 'baseline', '000000']","['Solving high-dimensional parabolic PDEs using the tensor train format', 'Mitigating Propagation Failures in Physics-informed Neural Networks using Retain-Resample-Release (R3) Sampling', 'Composing Partial Differential Equations with Physics-Aware Neural Networks', 'Implicit Neural Spatial Representations for Time-dependent PDEs', 'Lie Point Symmetry Data Augmentation for Neural PDE Solvers']"
43,21,43_pde_pdes_equation_neural,"['pde', 'pdes', 'equation', 'neural', 'equations', 'pinns', 'model', 'simulation', 'r3', 'graph']","['Do RNN and LSTM have Long Memory', 'Towards Binary-Valued Gates for Robust LSTM Training', 'Dynamical Isometry and a Mean Field Theory of RNNs Gating Enables Signal Propagation in Recurrent Neural Networks', 'Implicit Bias of Linear RNNs', 'Reviving and Improving Recurrent Back-Propagation']"
44,20,44_recurrent_rnn_lstm_gate,"['recurrent', 'rnn', 'lstm', 'gate', 'rnns', 'memory', 'gates', 'hidden', 'neural', 'networks']","['Understanding Failures in Out-of-Distribution Detection with Deep Generative Models', 'Non-Negative Bregman Divergence Minimization for Deep Direct Density Ratio Estimation', ""Hierarchical VAEs Know What They Don't Know"", 'Interpretable, Multidimensional, Multimodal Anomaly Detection with Negative Sampling for Detection of Device Failure', 'Latent Outlier Exposure for Anomaly Detection with Contaminated Data']"
45,19,45_detection_ood_anomaly_indistribution,"['detection', 'ood', 'anomaly', 'indistribution', 'outlier', 'outofdistribution', 'data', 'test', '0100', 'training']","['Measuring abstract reasoning in neural networks', 'Learning Reasoning Strategies in End-to-End Differentiable Proving', 'Proving Theorems using Incremental Learning and Hindsight Experience Replay', 'Circuit-Based Intrinsic Methods to Detect Overfitting', 'Neuro-Symbolic Visual Reasoning Disentangling Visual from Reasoning']"
46,18,46_reasoning_task_neural_patt,"['reasoning', 'task', 'neural', 'patt', 'set', 'learning', 'pretraining', 'symbolic', 'model', 'batch04050607080910test']","['Zeno Robust Fully Asynchronous SGD', 'The Hidden Vulnerability of Distributed Learning in Byzantium', 'Asynchronous Byzantine Machine Learning', 'Byzantine Machine Learning Made Easy by Resilient Averaging of Momentums', 'Byzantine-Resilient High-Dimensional SGD with Local Iterations on Heterogeneous Data']"
47,17,47_byzantine_workers_distributed_gradients,"['byzantine', 'workers', 'distributed', 'gradients', 'attack', 'gradient', 'worker', 'attacks', 'poisoning', 'server']","['Variational Open-Domain Question Answering', 'The Effect of Natural Distribution Shift on Question Answering Models', 'StreamingQA A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models', 'Same Pre-training Loss, Better Downstream Implicit Bias Matters for Language Models', 'REALM Retrieval-Augmented Language Model Pre-Training']"
48,16,48_language_single_prompt_model,"['language', 'single', 'prompt', 'model', 'models', 'questions', 'question', 'retrieval', 'pretraining', 'answer']","['SoQal Selective Oracle Questioning for Consistency Based Active Learning of Cardiac Signals', 'Online Active Regression', 'On the Relationship between Data Efficiency and Error for Uncertainty Sampling', 'Message Passing Adaptive Resonance Theory for Online Active Semi-supervised Learning', 'Margin-based sampling in high dimensions When being active is less efficient than staying passive']"
49,16,49_active_learning_data_sampling,"['active', 'learning', 'data', 'sampling', 'oracle', 'mal', 'acquisition', 'labels', 'query', 'error']","['Zero-shot Learning and Knowledge Transfer in Music Classification and Tagging', 'XtarNet Learning to Extract Task-Adaptive Representation for Incremental Few-Shot Learning', 'Tuning Language Models as Training Data Generators for Augmentation-Enhanced Few-Shot Learning', 'TapNet Neural Network Augmented with Task-Adaptive Projection for Few-Shot Learning', 'Self-Supervised Prototypical Transfer Learning for Few-Shot Classification']"
50,16,50_fewshot_learning_classes_task,"['fewshot', 'learning', 'classes', 'task', 'training', 'miniimagenet', 'tasks', 'classication', 'set', 'bloom']","['Unsupervised Deep Learning by Neighbourhood Discovery', 'Puzzle Mix Exploiting Saliency and Local Statistics for Optimal Mixup', 'Provably Learning Diverse Features in Multi-View Data with Midpoint Mixup', 'From ImageNet to Image Classification Contextualizing Progress on Benchmarks', 'FOCUS Familiar Objects in Common and Uncommon Settings']"
51,15,51_images_imagenet_test_image,"['images', 'imagenet', 'test', 'image', 'accuracy', 'class', 'labels', 'mixup', 'set', 'dataset']","['Video Prediction with Appearance and Motion Conditions', 'Time Is MattEr Temporal Self-supervision for Video Transformers', 'Temporally Consistent Transformers for Video Generation', 'Temporal Gaussian Mixture Layer for Videos', 'Stochastic Video Generation with a Learned Prior']"
52,15,52_video_frames_videos_temporal,"['video', 'frames', 'videos', 'temporal', 'frame', 'motion', 'prediction', 'model', 'image', 'generation']","['Topic Modeling via Full Dependence Mixtures', 'Sawtooth Factorial Topic Embeddings Guided Gamma Belief Network', 'On-the-fly Rectification for Robust Large-Vocabulary Topic Inference', 'Neural Topic Modeling with Continual Lifelong Learning', 'Learning Structured Latent Factors from Dependent Data A Generative Model Framework from Information-Theoretic Perspective']"
53,13,53_topic_word_topics_latent,"['topic', 'word', 'topics', 'latent', 'document', 'words', 'text', 'modeling', 'model', 'embeddings']","['SpreadsheetCoder Formula Prediction from Semi-structured Context', 'Repository-Level Prompt Generation for Large Language Models of Code', 'PAL Program-aided Language Models', 'Open Vocabulary Learning on Source Code with a Graph-Structured Cache', 'Leveraging Language to Learn Program Abstractions and Search Heuristics']"
54,12,54_code_program_prompt_programs,"['code', 'program', 'prompt', 'programs', 'language', 'repair', 'string', 'tmp', 'context', 'model']","['Tight Kernel Query Complexity of Kernel Ridge Regression and Kernel k-means Clustering', 'Random Gegenbauer Features for Scalable Kernel Methods', 'Random Fourier Features for Kernel Ridge Regression Approximation Bounds and Statistical Guarantees', 'Quantization Algorithms for Random Fourier Features', 'One-shot distributed ridge regression in high dimensions']"
55,12,55_kernel_ridge_matrix_kernels,"['kernel', 'ridge', 'matrix', 'kernels', 'regression', 'random', 'theorem', 'features', 'lmrff', 'gaussian']","['Symmetric Spaces for Graph Embeddings A Finsler-Riemannian Approach', 'Representation Tradeoffs for Hyperbolic Embeddings', 'Optimal Transport for structured data with application on graphs', 'On Efficient Low Distortion Ultrametric Embedding', 'Nested Subspace Arrangement for Representation of Relational Data']"
56,12,56_hyperbolic_embeddings_graph_embedding,"['hyperbolic', 'embeddings', 'graph', 'embedding', 'distance', 'graphs', 'disk', 'spaces', 'euclidean', 'space']","['Zero-Shot Knowledge Distillation in Deep Networks', 'Zero-Shot Knowledge Distillation from a Decision-Based Black-Box Model', 'Towards Understanding Knowledge Distillation', 'Revisiting Label Smoothing and Knowledge Distillation Compatibility What was Missing', 'Model Ratatouille Recycling Diverse Models for Out-of-Distribution Generalization']"
57,11,57_teacher_distillation_student_kd,"['teacher', 'distillation', 'student', 'kd', 'knowledge', 'transfer', 'domainnet', 'ratatouille', 'teachers', 'training']","['Two-way kernel matrix puncturing towards resource-efficient PCA and spectral clustering', 'Theory of Spectral Method for Union of Subspaces-Based Random Geometry Graph', 'Sublinear-Time Clustering Oracle for Signed Graphs', 'p-Norm Flow Diffusion for Local Graph Clustering', 'Optimal LP Rounding and Linear-Time Approximation Algorithms for Clustering Edge-Colored Hypergraphs']"
58,11,58_clustering_cluster_lp_spectral,"['clustering', 'cluster', 'lp', 'spectral', 'graph', 'subspace', 'signed', 'algorithm', 'edge', 'lemma']","['Zoo-Tuning Adaptive Transfer from a Zoo of Models', 'Failure and success of the spectral bias prediction for Kernel Ridge Regression the case of low-dimensional data', 'Fast Sampling of Diffusion Models via Operator Learning', 'Fast Relative Entropy Coding with A coding', 'Fast rates for noisy interpolation require rethinking the effects of inductive bias']"
